,d2h
qtractor.csv,0.44
oppna-program-hsatools.csv,0.8
acegisecurity.csv,0.49
customsagetv.csv,0.92
openxava.csv,0.58
botsnscouts.csv,0.5
google-caja.csv,0.56
freebios.csv,0.63
tktoolkit.csv,0.66
mbse.csv,0.59
gebr.csv,0.59
flexpay.csv,0.7
bnetd.csv,0.56
gabel.csv,0.43
mpgravity.csv,0.42
vars-redux.csv,0.49
jam-daq.csv,0.57
haphazard.csv,0.85
httpcontentparser.csv,0.54
mia.csv,0.89
vrjuggler.csv,0.9
myfaces.csv,0.35
massiv.csv,0.59
wow-qrsk.csv,0.4
bacnet.csv,0.58
gretl.csv,0.58
empserver.csv,0.64
plplot.csv,0.53
mycila.csv,0.81
ogrehg.csv,0.52
alleg.csv,0.66
k3b.csv,0.63
jaxlib.csv,0.79
chaperon.csv,1.01
unbvision.csv,0.46
genecys.csv,0.45
openmalaria.csv,0.5
wishmaster.csv,0.8
bibedt.csv,0.81
yarp0.csv,0.84
tmva.csv,0.6
azureus.csv,0.52
bulmages.csv,0.61
ctrlr.csv,0.93
rodin-b-sharp.csv,0.85
kowari.csv,0.69
ppcboot.csv,0.58
clamav.csv,0.66
motu.csv,0.53
gnupdate.csv,0.38
customwars.csv,0.75
libtorrent.csv,0.53
fceugc.csv,0.62
minig.csv,0.77
calcubetimer.csv,0.88
iaml.csv,0.86
jppf-project.csv,0.88
anaxagora.csv,0.73
ipfire-wall.csv,0.52
sumatrapdf.csv,0.49
gwanted.csv,0.53
cubefs.csv,0.84
moving-pictures.csv,0.74
alsa.csv,0.71
nodal.csv,0.84
monetdb.csv,0.46
xemeiah.csv,0.56
riff-evolve.csv,0.86
owlapi.csv,0.67
ogre.csv,1.33
