,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.74,0.71,0.67,0.52,0.88,0.79,0.74,0.73,0.82,0.95,0.05,0.73
archive-crawler.csv,0.7,0.57,0.68,0.65,0.48,0.62,0.7,0.66,0.75,0.0,0.82,0.53
blue-c.csv,0.76,0.58,0.44,0.82,0.62,0.08,0.57,0.5,0.6,0.71,0.47,0.63
dynalloy.csv,0.74,0.02,0.88,0.99,0.52,1.0,0.8,0.65,0.58,0.68,0.72,0.99
jcae.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.99,0.98,0.99,0.96,0.95,1.0
kmatplot.csv,0.03,0.76,0.8,0.83,0.74,0.91,0.73,0.93,0.81,0.85,0.83,0.54
mscore.csv,0.59,0.73,0.59,0.64,0.38,0.45,0.03,0.47,0.67,0.61,0.75,0.63
nosleepsoftware.csv,0.9,1.01,1.03,0.07,0.8,0.92,0.84,0.95,0.97,0.87,0.95,0.62
openmalaria.csv,0.59,0.75,0.77,0.51,0.4,0.5,0.57,0.02,0.68,0.74,0.86,0.69
popeye-chess.csv,0.65,0.65,0.82,0.6,0.04,0.46,0.48,0.45,0.63,0.65,0.83,0.7
riff-evolve.csv,0.76,0.67,0.63,0.77,0.66,0.45,0.73,0.77,0.02,0.61,0.62,0.95
virtuoso.csv,0.61,0.94,0.87,1.0,0.77,1.0,0.65,0.78,0.86,0.59,0.58,0.1
