,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.29,0.35,0.44,0.3,0.09,0.35,0.62,0.46,0.39,0.15,0.02,0.32,0.17,0.16,0.03,0.12,0.53
emeraldemu.csv,0.2,0.31,0.13,0.13,0.36,0.36,0.35,0.0,0.22,0.0,0.6,0.16,0.48,0.08,0.16,0.19,0.18
grafx2.csv,0.2,0.36,0.44,0.2,0.09,0.16,0.25,0.16,0.22,0.09,0.28,0.22,0.2,0.0,0.25,0.31,0.24
jahshakafx.csv,0.01,0.18,0.11,0.2,0.0,0.08,0.18,0.15,0.12,0.02,0.17,0.24,0.2,0.03,0.03,0.06,0.07
kindb.csv,0.37,0.54,0.5,0.62,0.27,0.28,0.68,0.48,0.5,0.17,0.64,0.45,0.39,0.16,0.16,0.06,0.51
maya-work-in-progress.csv,0.54,0.26,0.47,0.21,0.36,0.33,0.45,0.51,0.31,0.0,0.47,0.12,0.33,0.18,0.34,0.12,0.63
novembre.csv,0.12,0.52,0.18,0.22,0.0,0.04,0.0,0.1,0.03,0.04,0.23,0.12,0.13,0.16,0.06,0.0,0.02
ns-3.csv,0.37,0.59,0.59,0.4,0.27,0.01,0.7,0.4,0.48,0.55,0.45,0.86,0.63,1.0,0.41,0.25,0.41
nullc.csv,0.75,0.73,0.89,0.95,0.0,0.87,0.88,0.79,0.79,0.81,0.51,0.91,0.96,0.89,0.94,0.88,0.76
open-beos.csv,0.43,0.32,0.23,0.39,0.18,0.29,0.25,0.38,0.0,0.13,0.53,0.61,0.35,0.82,0.34,0.62,0.26
pixel-commandos.csv,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0
planeshift.csv,0.38,0.53,0.65,0.55,0.18,0.45,0.8,0.45,0.5,0.49,0.32,0.47,0.02,0.42,0.5,0.12,0.37
plee-the-bear.csv,0.42,0.4,0.0,0.02,0.64,0.63,0.42,0.16,0.5,0.68,0.38,0.59,0.48,0.76,0.5,0.56,0.41
reaper-ecad.csv,0.44,0.15,0.48,0.0,0.18,0.43,0.1,0.35,0.19,0.51,0.85,0.26,0.37,0.08,0.31,0.69,0.42
sbml.csv,0.35,0.48,0.66,0.84,0.18,0.41,0.7,0.59,0.53,0.34,0.36,0.55,0.7,0.13,0.0,0.31,0.51
unimrcp.csv,0.14,0.13,0.09,0.08,0.09,0.01,0.12,0.09,0.06,0.0,0.21,0.01,0.02,0.05,0.03,0.06,0.14
unladen-swallow.csv,0.09,0.02,0.08,0.07,0.18,0.37,0.4,0.12,0.14,0.17,0.68,0.49,0.57,0.18,0.75,0.25,0.13
