,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.49,0.44,0.48,0.62,0.57,0.56,0.66,0.54,0.6,0.46,0.03,0.42,0.5,0.56,0.47,0.32,0.58
emeraldemu.csv,0.48,0.5,0.5,0.8,0.7,0.6,0.53,0.05,0.61,0.78,0.72,0.69,0.57,0.56,0.61,0.45,0.31
grafx2.csv,0.53,0.47,0.48,0.46,0.73,0.79,0.59,0.46,0.61,0.63,0.65,0.63,0.6,0.07,0.51,0.36,0.56
jahshakafx.csv,0.02,0.63,0.86,0.94,0.82,0.8,0.75,0.7,0.74,0.84,0.67,0.99,0.81,0.74,0.78,0.86,0.5
kindb.csv,0.39,0.55,0.54,0.63,0.59,0.54,0.68,0.52,0.58,0.47,0.65,0.52,0.47,0.56,0.39,0.06,0.51
maya-work-in-progress.csv,0.61,0.59,0.49,0.74,0.56,0.68,0.6,0.67,0.57,0.09,0.65,0.79,0.65,0.77,0.5,0.57,0.67
novembre.csv,0.53,0.54,0.6,0.55,0.8,0.91,0.33,0.59,0.86,0.94,0.71,0.9,0.75,0.58,0.61,0.76,0.75
ns-3.csv,0.45,0.7,0.61,0.52,0.66,0.01,0.78,0.5,0.66,0.71,0.55,0.87,0.66,1.0,0.62,0.59,0.64
nullc.csv,0.77,0.81,0.93,0.95,0.0,0.9,0.88,0.82,0.83,0.86,0.68,0.91,0.96,0.92,0.94,0.89,0.8
open-beos.csv,0.54,0.48,0.48,0.48,0.67,0.66,0.53,0.51,0.03,0.7,0.66,0.71,0.57,0.91,0.74,0.73,0.36
pixel-commandos.csv,0.86,0.93,0.82,1.0,0.94,0.99,0.93,0.91,0.99,1.0,1.0,1.0,0.97,1.0,0.83,1.0,0.0
planeshift.csv,0.4,0.56,0.76,0.69,0.55,0.65,0.82,0.54,0.6,0.79,0.67,0.52,0.03,0.48,0.65,0.43,0.62
plee-the-bear.csv,0.99,0.9,0.18,0.96,0.81,0.81,0.97,0.93,0.8,1.01,0.76,0.89,0.71,0.87,0.87,0.7,1.08
reaper-ecad.csv,0.8,0.74,0.62,0.12,0.8,0.69,0.67,0.63,0.76,0.76,0.89,0.96,0.66,0.7,0.63,1.01,1.08
sbml.csv,0.44,0.53,0.67,0.84,0.65,0.58,0.75,0.63,0.6,0.53,0.76,0.57,0.71,0.44,0.03,0.39,0.56
unimrcp.csv,0.46,0.67,0.61,0.75,0.69,0.87,0.55,0.61,0.8,0.88,0.75,0.08,0.69,0.68,0.93,0.56,0.76
unladen-swallow.csv,0.8,0.33,0.94,0.96,0.74,0.71,0.78,0.88,0.89,0.89,0.8,0.8,0.78,0.61,0.87,0.64,1.01
