,apolloplayer.csv,utgb.csv,pcgen.csv,emulemorph.csv,continuum-ide.csv,azureus.csv,stemkit.csv,factor.csv,columba.csv
apolloplayer.csv,0.97,0.35,0.44,0.38,0.37,0.56,0.68,0.37,0.3
azureus.csv,0.38,0.2,0.41,0.38,0.5,0.96,0.2,0.06,0.58
columba.csv,0.05,0.52,0.64,0.37,0.69,0.68,0.68,0.32,0.92
continuum-ide.csv,0.1,0.17,0.18,0.2,0.95,0.36,0.2,0.02,0.1
emulemorph.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.18,0.05
factor.csv,0.15,0.07,0.19,0.0,0.21,0.13,0.61,0.96,0.1
pcgen.csv,0.58,0.41,0.96,0.37,0.42,0.69,0.0,0.06,0.51
stemkit.csv,0.25,0.07,0.31,0.2,0.21,0.06,1.0,0.26,0.11
utgb.csv,0.58,0.99,0.26,0.0,0.39,0.39,0.37,0.35,0.37
