,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.52,0.38,0.32,0.21
n2cms.csv,0.6,0.27,0.23,0.28
nassp.csv,0.52,0.29,0.31,0.47
nug.csv,0.43,0.2,0.58,0.21
