,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.35,0.57,0.65,0.42
n2cms.csv,0.69,0.64,0.47,0.92
nassp.csv,0.25,0.29,0.29,0.75
nug.csv,0.85,0.14,0.82,0.5
