,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.6,1.0,0.11,0.3,0.56,0.67,0.34,0.26,0.38,0.52
jmule.csv,0.48,0.52,0.15,0.62,0.62,0.53,0.25,0.26,0.29,1.0
nosleepsoftware.csv,0.75,0.7,1.0,0.0,0.35,0.62,0.3,0.22,0.42,0.48
open-ms.csv,0.44,0.54,0.32,0.0,0.4,0.67,0.26,1.0,0.17,0.42
qgo.csv,1.0,0.69,1.0,0.4,0.86,0.53,0.37,0.3,0.44,0.53
rezilla.csv,0.45,0.52,0.27,1.0,0.52,0.5,0.24,0.22,0.21,0.43
riff-evolve.csv,0.52,0.64,0.24,0.26,0.68,0.99,0.23,0.21,0.3,0.54
uwom.csv,0.63,0.71,0.0,0.42,0.69,0.38,0.24,0.31,0.99,0.71
virtuoso.csv,0.48,0.7,0.29,0.44,0.56,0.49,1.0,0.22,0.38,0.5
yield.csv,0.58,0.57,0.27,0.44,1.0,0.55,0.27,0.23,0.26,0.46
