,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.48,0.51,0.72,0.8,0.58,0.6,0.41,0.6,0.55,0.4
jmule.csv,0.48,0.57,0.55,0.88,0.47,0.46,0.37,0.54,0.45,0.52
nosleepsoftware.csv,0.83,0.59,0.75,0.0,0.94,0.88,0.52,0.86,0.92,0.48
open-ms.csv,0.51,0.55,0.61,0.0,0.83,0.93,0.5,0.9,0.8,0.54
qgo.csv,0.43,0.59,0.75,0.8,0.86,0.93,0.43,0.75,0.94,0.59
rezilla.csv,0.38,0.4,0.41,0.68,0.46,0.42,0.38,0.41,0.4,0.34
riff-evolve.csv,0.4,0.44,0.57,0.43,0.49,0.56,0.41,0.55,0.49,0.46
uwom.csv,0.5,0.97,0.73,0.5,0.81,0.75,0.44,0.68,0.82,0.86
virtuoso.csv,0.37,0.81,0.61,0.67,0.61,0.51,0.83,0.45,0.52,0.39
yield.csv,0.32,0.36,0.37,0.69,0.52,0.41,0.35,0.38,0.39,0.33
