,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.66,0.33,0.63,0.5,0.24,0.3,0.54,0.69,0.27,0.44,0.5,0.99,0.0,0.5,0.49
emulemorph.csv,0.0,0.05,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
fceugc.csv,0.25,0.13,0.26,0.17,0.9,0.13,0.0,0.07,0.0,0.44,0.2,0.27,0.67,0.27,0.43
gnukeda.csv,0.62,1.0,0.78,0.5,0.62,0.59,0.92,0.52,0.64,0.8,0.65,0.81,1.0,0.69,0.66
gusanos.csv,0.71,0.56,0.89,0.67,0.67,0.52,0.77,1.0,0.64,0.71,0.55,0.78,1.0,0.69,0.72
micomt.csv,0.42,0.18,0.11,0.17,0.29,0.12,0.85,0.1,0.0,0.22,0.17,0.3,0.33,0.08,0.55
modplug.csv,0.84,0.56,0.78,0.83,0.43,0.58,0.77,0.81,0.82,0.98,0.68,0.73,0.33,0.69,0.49
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0
openfrag.csv,0.85,0.59,0.93,0.5,0.57,0.35,0.69,0.72,0.55,0.65,1.0,0.78,0.67,0.46,0.68
oscarmcmaster.csv,0.54,0.15,0.22,0.33,0.1,0.04,0.31,0.22,0.09,0.27,0.39,0.1,0.0,0.08,0.96
pidgin.csv,1.0,0.59,0.74,0.67,0.71,0.48,0.77,0.63,0.55,0.73,0.61,0.84,1.0,0.73,0.57
repositorium.csv,0.24,0.15,0.11,0.0,0.24,0.38,0.08,0.22,0.82,0.33,0.18,0.49,1.0,0.23,0.49
unimrcp.csv,0.1,0.21,1.0,0.33,0.05,0.06,0.08,0.18,0.0,0.22,0.12,0.06,0.33,0.12,0.13
xapian.csv,0.34,0.31,0.07,0.5,0.48,0.5,0.54,0.36,0.18,0.51,0.23,0.37,0.33,0.92,0.28
xqilla.csv,0.0,0.0,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0
