,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.59,0.66,0.41,0.76,0.99,0.97,0.44,0.39,0.94,0.75
haphazard.csv,0.57,0.46,0.43,0.53,0.45,0.61,0.22,0.78,0.23,0.63
jicarilla.csv,0.07,0.0,0.22,0.01,0.0,0.03,0.04,0.44,0.0,0.0
ondex.csv,0.11,0.16,0.19,0.42,0.41,0.06,0.0,0.11,0.25,0.26
optalgtoolkit.csv,0.28,0.45,0.38,0.55,0.49,0.23,0.48,0.89,0.65,0.53
ossim.csv,0.3,0.19,0.32,0.31,0.03,0.32,0.52,0.89,0.42,0.6
projectts.csv,0.59,0.77,0.32,0.52,0.81,0.94,0.44,0.06,0.6,0.63
sabbu.csv,0.22,0.54,0.11,0.38,0.59,0.1,0.41,0.11,0.54,0.53
vxl.csv,0.31,0.35,0.27,0.41,0.61,0.58,0.3,0.22,0.62,0.57
zact.csv,0.33,0.06,0.16,0.29,0.26,0.0,0.33,0.17,0.17,0.12
