,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.71,0.83,0.47,0.57,0.48,0.57,0.67,0.39,0.43,0.41,0.74,0.63,0.57,0.31,0.46
glelite.csv,0.48,0.39,0.41,0.4,0.46,0.31,0.31,0.35,0.35,0.46,0.41,0.37,0.51,0.3,0.44
hannosset.csv,0.86,0.8,0.92,0.75,0.8,0.92,0.0,0.88,0.85,0.96,0.78,0.0,0.97,0.92,0.0
ipfilter.csv,0.43,0.58,0.55,0.49,0.48,0.32,0.35,0.36,0.44,0.51,0.76,0.45,0.56,0.32,0.5
moving-pictures.csv,0.78,0.37,0.0,0.5,0.62,0.3,0.46,0.43,0.56,0.56,0.37,0.4,0.47,0.35,0.35
pclasses.csv,0.7,0.48,0.0,0.89,0.54,0.91,0.59,0.52,0.47,0.38,0.45,0.89,0.91,0.62,0.46
pfaedit.csv,0.89,0.5,0.0,0.42,0.46,0.38,0.86,0.86,0.69,0.93,0.33,0.67,0.58,0.67,0.5
qcad2.csv,0.88,0.87,0.8,0.62,0.5,0.31,0.89,0.67,0.5,0.96,0.81,0.88,0.55,0.39,0.86
rockbox.csv,0.45,0.34,0.0,0.43,0.47,0.32,0.75,0.53,0.67,0.43,0.32,0.69,0.5,0.76,0.35
roller.csv,0.49,0.38,0.43,0.43,0.47,0.34,0.32,0.41,0.43,0.43,0.38,0.52,0.54,0.33,0.53
theresa.csv,0.56,0.39,0.75,0.5,0.71,0.35,0.64,0.43,0.39,0.75,0.34,0.34,0.48,0.29,0.62
tzod.csv,0.43,0.47,0.44,0.57,0.6,0.38,0.5,0.6,0.37,0.9,0.53,0.39,0.65,0.35,0.87
xinity.csv,0.6,0.59,0.42,0.71,0.8,0.52,0.35,0.79,0.92,0.74,0.94,0.62,0.69,0.41,0.53
zabbix.csv,0.6,0.44,0.54,0.7,0.51,0.68,0.91,0.79,0.52,0.86,0.45,0.45,0.5,0.38,0.55
