,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.79,0.64,0.43,0.59,0.79,0.75,0.92,0.51,0.69,0.77,0.77,0.61,0.41,0.49,0.86,1.0,0.55
arm-webradio.csv,0.83,0.54,0.76,0.72,0.6,0.57,0.82,0.34,0.94,0.94,1.0,0.64,0.8,0.68,0.74,0.98,0.18
bwapi.csv,1.0,0.95,0.94,0.97,0.77,0.98,1.0,1.14,0.84,0.73,1.0,0.91,0.94,0.99,0.74,0.32,1.03
co-ode-owl-plugins.csv,0.57,0.55,0.51,0.65,0.57,0.54,0.76,0.3,0.65,0.91,0.96,0.64,0.81,0.95,0.61,0.89,0.16
firebreath.csv,0.57,0.64,0.63,0.61,0.63,0.48,0.64,1.04,0.88,0.56,0.93,0.53,0.73,0.53,0.67,0.92,0.88
frogatto.csv,0.52,0.75,0.77,0.65,0.61,0.59,0.73,1.02,0.54,0.59,0.97,0.53,0.7,0.99,0.55,0.89,0.91
gretl.csv,0.53,0.66,0.55,0.47,0.97,0.72,0.77,0.53,0.68,0.95,0.84,0.44,0.67,0.44,0.97,0.95,0.41
jasperreports.csv,0.69,0.86,0.93,0.88,0.84,0.81,0.98,1.11,1.02,0.81,0.9,0.67,0.71,0.13,0.91,0.88,1.24
konversation.csv,0.63,0.6,0.3,0.59,0.52,0.49,0.77,0.49,0.85,0.87,0.78,0.57,0.79,0.46,0.59,0.87,0.72
linuxsh.csv,0.66,0.34,0.44,0.7,0.68,0.77,1.0,0.3,0.69,0.93,1.0,0.77,0.89,0.94,0.61,0.87,0.52
moviesandbox.csv,0.82,0.6,0.44,0.58,0.47,0.6,0.92,0.42,0.56,0.71,0.94,0.75,0.84,0.51,0.57,0.91,0.7
ontomorphtab.csv,0.39,0.95,0.66,0.59,0.77,0.68,0.73,1.04,0.78,0.57,0.91,0.45,0.9,0.36,0.67,0.81,0.94
opengs.csv,0.83,0.64,0.45,0.42,0.57,0.74,0.9,0.94,0.4,0.55,1.0,0.63,0.73,0.73,0.57,0.69,0.71
scite-ru.csv,0.59,0.54,0.54,0.53,0.75,0.67,0.58,0.77,0.66,0.9,0.81,0.51,0.65,1.0,0.64,1.0,0.39
tokratan.csv,0.68,0.64,0.44,0.5,0.56,0.72,0.95,0.89,0.72,0.58,0.9,0.5,0.67,0.49,0.78,0.9,0.8
vrjuggler.csv,0.61,1.0,0.39,0.96,0.57,0.89,0.82,0.35,0.68,0.79,0.51,1.0,0.99,0.82,0.61,0.77,0.97
xuggle.csv,0.7,0.78,0.55,0.34,0.66,0.63,0.55,0.89,0.48,0.48,0.89,0.58,0.68,0.97,0.6,0.85,0.64
