,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.67,0.21,0.39,0.15,0.57,0.42,0.17,0.25,0.48,0.1,0.19,0.86,0.78,0.09,0.53,0.69,0.35
arm-webradio.csv,0.54,0.26,0.25,0.11,0.64,0.5,0.4,0.6,0.42,0.09,0.0,0.88,0.55,0.06,0.56,0.75,0.67
bwapi.csv,0.6,0.12,0.12,0.1,0.51,0.38,0.29,0.07,0.32,0.12,0.21,0.82,0.58,0.05,0.62,0.92,0.16
co-ode-owl-plugins.csv,0.71,0.23,0.21,0.15,0.65,0.51,0.71,0.57,0.5,0.11,0.08,0.9,0.54,0.05,0.59,0.75,0.7
firebreath.csv,0.77,0.22,0.15,0.15,0.62,0.55,0.5,0.08,0.43,0.15,0.11,0.89,0.61,0.09,0.92,0.66,0.21
frogatto.csv,0.77,0.15,0.14,0.14,0.62,0.46,0.34,0.09,0.55,0.18,0.22,0.88,0.65,0.05,0.68,0.65,0.2
gretl.csv,0.73,0.19,0.17,0.2,0.55,0.38,0.25,0.24,0.44,0.11,0.19,0.91,0.64,0.11,0.52,0.77,0.52
jasperreports.csv,0.68,0.11,0.12,0.09,0.45,0.39,0.28,0.07,0.18,0.2,0.23,0.85,0.64,0.29,0.33,1.0,0.01
konversation.csv,0.78,0.26,0.38,0.2,0.81,0.54,0.29,0.33,0.39,0.1,0.19,0.92,0.56,0.11,0.83,0.85,0.5
linuxsh.csv,0.68,0.36,0.33,0.3,0.6,0.42,0.0,0.57,0.5,0.09,0.0,0.94,0.47,0.02,0.59,0.74,0.74
moviesandbox.csv,0.64,0.26,0.22,0.16,0.7,0.45,0.2,0.31,0.51,0.12,0.33,0.9,0.51,0.09,0.71,0.64,0.35
ontomorphtab.csv,0.83,0.17,0.16,0.15,0.6,0.44,0.29,0.07,0.44,0.15,0.13,0.91,0.62,0.13,0.57,0.73,0.25
opengs.csv,0.86,0.19,0.3,0.25,0.65,0.39,1.0,1.0,0.63,0.18,0.0,0.92,0.62,0.05,0.71,0.8,0.83
scite-ru.csv,0.71,0.24,0.17,0.17,0.6,0.41,0.39,0.19,0.49,0.12,0.23,0.92,0.65,0.05,0.61,0.77,0.47
tokratan.csv,0.75,0.22,0.35,0.29,0.65,0.48,1.0,0.5,0.88,0.21,0.13,0.9,0.66,0.09,1.0,1.0,0.22
vrjuggler.csv,0.69,0.0,0.31,0.18,0.68,0.41,0.36,0.36,0.6,0.09,0.33,0.0,0.5,0.04,0.59,0.75,0.5
xuggle.csv,0.71,0.17,0.23,0.32,0.6,0.44,0.38,0.09,0.56,0.21,0.12,0.87,0.65,0.04,0.6,0.77,0.31
