,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.97,0.41,0.47,0.5,0.38,0.4,0.53,0.39,0.34,0.44,0.42,0.38
bscwweasel.csv,0.67,0.0,0.53,0.65,0.52,0.57,0.82,0.39,0.85,0.44,0.69,0.81
capcode.csv,0.67,0.43,0.51,0.51,0.63,0.82,0.8,0.83,0.45,0.61,0.47,0.55
emite.csv,0.29,0.74,0.51,0.94,0.48,0.65,0.97,0.97,0.88,0.53,0.67,0.45
lamp.csv,0.28,0.68,0.81,0.43,0.37,0.39,0.39,0.6,0.42,0.4,0.33,0.92
mecat.csv,0.0,0.67,0.5,0.88,0.8,0.89,0.0,0.89,0.0,0.81,0.9,0.0
nodal.csv,0.0,0.86,0.6,0.55,0.45,0.73,0.83,0.9,0.65,0.37,0.5,0.89
pydev.csv,0.3,0.9,0.67,0.51,0.36,0.43,0.61,0.41,0.69,0.49,0.4,0.93
retromenu.csv,0.5,0.73,0.85,0.94,0.37,0.75,0.41,0.78,0.52,0.88,0.48,0.91
smbopensoft.csv,0.41,0.39,0.47,0.55,0.41,0.52,0.51,0.68,0.52,0.44,0.44,0.38
stuproa-cims.csv,0.0,0.5,0.65,0.66,0.38,0.89,0.75,0.73,0.45,0.42,0.57,0.67
thout.csv,0.32,0.4,0.55,0.9,0.39,0.38,0.39,0.35,0.33,0.45,0.35,0.4
