,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.12,0.57,0.3,0.2,0.56,0.41,0.68,0.36,0.4
atlc.csv,0.86,0.1,0.43,0.64,0.2,0.36,0.23,0.6,0.34,0.46
ipfilter.csv,0.58,0.08,0.68,0.79,0.14,0.33,0.23,0.97,0.38,0.46
jmol.csv,0.73,0.05,0.76,0.79,0.23,0.36,0.2,0.84,0.36,0.54
pfaedit.csv,0.0,0.19,0.83,0.78,0.17,0.31,0.38,0.16,0.41,0.45
rockbox.csv,0.05,0.26,0.51,0.62,0.35,0.3,0.24,0.42,0.35,0.68
snakeyaml.csv,0.7,0.29,0.67,0.48,0.44,0.33,0.3,0.52,0.36,0.23
theresa.csv,0.38,0.32,0.75,0.64,0.38,0.33,0.32,0.55,0.4,0.38
trinitycore.csv,0.0,0.2,0.13,0.5,0.31,0.15,0.22,0.0,0.44,0.5
wxcode.csv,0.18,0.0,0.63,0.48,0.36,0.41,0.5,0.54,0.35,0.25
