,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,69.0,13.0,0.0,0.0,72.0,0.0,0.0,1.0,7.0,1.0
atlc.csv,1.0,35.0,9.0,1.0,29.0,10.0,2.0,1.0,10.0,13.0
ipfilter.csv,0.0,43.0,1.0,1.0,70.0,16.0,3.0,0.0,14.0,14.0
jmol.csv,0.0,36.0,0.0,0.0,72.0,7.0,2.0,0.0,20.0,6.0
pfaedit.csv,69.0,15.0,0.0,1.0,22.0,10.0,8.0,0.0,6.0,2.0
rockbox.csv,0.0,16.0,2.0,0.0,4.0,10.0,22.0,0.0,6.0,0.0
snakeyaml.csv,2.0,8.0,2.0,0.0,4.0,1.0,10.0,2.0,3.0,2.0
theresa.csv,0.0,12.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,0.0
trinitycore.csv,69.0,23.0,1.0,1.0,12.0,17.0,20.0,64.0,7.0,4.0
wxcode.csv,0.0,52.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0
