,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.07,0.8,1.0,0.12,0.49,0.27,0.89,0.36,0.55
atlc.csv,0.84,0.05,0.49,0.77,0.16,0.24,0.13,0.74,0.25,0.33
ipfilter.csv,0.51,0.04,0.59,0.8,0.08,0.2,0.13,0.96,0.24,0.36
jmol.csv,0.78,0.03,0.61,0.88,0.13,0.22,0.11,0.72,0.26,0.41
pfaedit.csv,0.0,0.11,0.86,0.82,0.12,0.26,0.29,1.0,0.34,0.58
rockbox.csv,1.0,0.15,0.69,0.88,0.33,0.24,0.15,0.7,0.31,0.6
snakeyaml.csv,0.86,0.18,0.72,0.89,0.33,0.29,0.2,0.6,0.37,0.43
theresa.csv,0.83,0.19,0.77,0.92,0.25,0.3,0.22,0.7,0.38,0.71
trinitycore.csv,0.0,0.11,0.5,0.79,0.28,0.12,0.14,0.0,0.34,0.53
wxcode.csv,1.0,0.0,0.84,0.97,0.58,0.33,0.33,1.0,0.38,0.6
