,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.37,0.49,0.22,0.44,0.7,0.85,0.58,0.4,0.37
atlc.csv,0.85,0.54,0.39,0.45,0.3,0.67,0.75,0.51,0.53,0.36
ipfilter.csv,0.25,0.38,0.41,0.45,0.39,0.5,0.75,0.96,0.45,0.54
jmol.csv,0.69,0.31,0.13,0.68,0.05,0.6,0.62,0.21,0.56,0.6
pfaedit.csv,0.0,0.67,0.8,0.54,0.34,0.41,0.61,0.11,0.55,0.42
rockbox.csv,0.02,0.91,0.45,0.52,0.42,0.44,0.69,0.34,0.44,0.77
snakeyaml.csv,0.63,0.7,0.63,0.38,0.69,0.44,0.6,0.4,0.39,0.19
theresa.csv,0.28,0.93,0.72,0.53,0.77,0.41,0.61,0.47,0.46,0.3
trinitycore.csv,0.0,0.84,0.09,0.4,0.38,0.23,0.59,0.0,0.63,0.51
wxcode.csv,0.12,0.0,0.55,0.37,0.3,0.6,0.96,0.42,0.38,0.19
