,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.69,0.67,0.93,0.94,0.64,0.95,1.0,0.25,0.84,0.46,0.79,0.55,0.76
codepurge.csv,0.0,0.76,0.24,0.81,0.07,0.48,1.0,0.43,0.76,0.21,0.71,0.38,0.74
crisscross.csv,1.0,0.67,0.82,1.0,0.84,1.0,1.0,0.93,0.84,0.57,0.71,1.0,1.0
elvishrayrenderer.csv,0.0,0.19,0.34,0.83,0.07,0.29,1.0,0.2,0.92,0.14,0.08,0.33,0.71
gwanted.csv,0.08,0.52,0.46,0.11,0.11,0.38,0.67,0.5,0.3,0.64,0.38,0.48,0.35
jitterbit.csv,0.0,0.62,0.68,0.5,0.11,0.33,0.67,0.69,0.84,0.64,0.38,0.68,0.65
ldview.csv,0.62,0.52,0.53,0.94,0.69,0.81,1.0,0.5,0.59,0.32,0.12,0.13,0.88
libopenmetaverse.csv,1.0,0.86,0.99,0.61,1.0,0.9,1.0,0.93,0.95,1.0,0.92,1.0,0.74
mb-unit.csv,0.23,0.48,0.7,0.69,0.36,0.14,1.0,0.5,0.89,0.46,0.17,0.58,0.91
mvdsv.csv,0.23,0.0,0.07,0.17,0.16,0.29,1.0,0.15,0.03,0.11,0.0,0.08,0.09
nova.csv,0.85,0.71,0.51,0.67,0.87,0.62,0.0,0.63,0.57,0.5,0.75,0.73,0.62
olex2.csv,0.54,0.52,0.66,0.33,0.27,0.0,0.67,0.37,0.73,0.68,0.21,0.73,0.38
tolven.csv,0.62,0.14,0.36,0.44,0.07,0.29,1.0,0.32,0.76,0.36,0.33,0.67,0.56
