,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.58,0.52,0.57,0.54
pentahoanalysistool.csv,0.39,0.85,0.58,0.09
personalaccess.csv,0.33,0.33,0.56,0.82
turbotrader-bos.csv,0.61,0.74,0.7,0.48
