,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.3,0.78,0.65,0.56
pentahoanalysistool.csv,0.61,0.32,0.47,0.04
personalaccess.csv,0.08,0.15,0.27,0.28
turbotrader-bos.csv,0.45,0.51,0.27,0.24
