,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.32,0.31,0.49,0.76,0.34,0.02,0.18,0.21,0.61,0.49,0.57,0.2,0.15,0.28,0.4,0.56,0.44
dynalloy.csv,0.54,0.83,0.26,0.59,0.53,1.0,0.47,0.89,0.58,0.76,0.67,0.8,0.73,0.63,0.26,0.5,0.62
enzo.csv,0.98,0.78,0.69,0.97,0.81,0.2,0.66,0.66,0.78,0.63,0.65,0.28,0.91,0.72,0.95,0.72,0.89
hydrogen.csv,0.91,1.0,1.0,1.0,1.0,0.0,1.0,0.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.27
jcae.csv,0.04,0.17,0.18,0.19,0.26,0.22,0.01,0.06,0.0,0.11,0.03,0.0,0.0,0.35,0.38,0.12,0.0
kmatplot.csv,0.09,0.27,0.3,0.56,1.0,0.72,0.07,0.12,0.36,0.04,0.98,0.0,0.58,0.39,0.98,0.06,0.19
lphant.csv,0.43,0.24,0.71,0.84,0.47,0.02,0.66,0.33,0.64,0.41,0.59,0.12,0.24,0.39,0.42,0.25,0.28
natpad.csv,0.28,0.33,0.84,0.67,0.6,0.78,0.56,0.29,0.65,0.48,0.78,0.8,0.09,0.19,0.54,0.56,0.39
nosleepsoftware.csv,0.11,0.0,0.02,0.0,0.17,0.0,0.06,0.0,0.0,0.03,0.0,0.04,0.03,0.17,0.19,0.0,0.14
ossbuild.csv,0.16,0.73,0.47,0.1,0.4,0.2,0.47,0.55,0.22,0.59,0.16,0.08,0.61,0.78,0.42,0.09,0.19
quarkplayer.csv,0.21,0.34,0.01,0.38,0.17,0.65,0.1,0.3,0.57,0.29,0.44,0.52,0.24,0.13,0.12,0.28,0.44
quickfast.csv,0.62,0.24,0.47,0.76,0.43,0.05,0.09,0.31,0.66,0.6,0.19,1.0,0.82,0.94,0.51,0.25,0.73
rezilla.csv,0.84,0.71,0.56,0.63,0.7,0.22,0.35,0.33,0.49,0.51,0.68,0.08,0.79,0.63,0.92,0.59,0.67
rhex.csv,0.28,0.14,0.18,0.47,0.21,0.02,0.07,0.12,0.15,0.23,0.44,0.16,0.0,0.24,0.31,0.22,0.19
rocrail.csv,0.33,0.44,0.77,0.76,0.43,0.05,0.41,0.25,0.59,0.37,0.49,0.08,0.82,0.37,0.21,0.31,0.38
virtuoso.csv,0.81,0.7,0.99,0.97,1.0,0.98,0.94,0.89,0.0,0.87,0.09,1.0,0.94,0.89,0.96,0.06,0.0
yield.csv,0.52,0.53,0.89,1.0,0.57,0.08,0.18,0.47,0.62,0.68,0.61,0.68,0.55,0.48,0.5,0.69,0.42
