,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.34,0.7,0.59,0.21,0.3,0.57,0.63,0.56,0.67,0.54,0.45
google-gears.csv,0.56,0.67,0.65,0.44,0.23,0.37,0.76,0.78,0.63,0.38,0.64
grafx2.csv,0.49,0.79,0.5,0.47,0.23,0.44,0.66,0.54,0.54,0.57,0.63
kmess.csv,0.29,0.0,0.39,0.12,0.27,0.2,0.74,0.02,0.53,0.25,0.33
megameknet.csv,0.57,0.7,0.65,0.46,0.19,0.54,0.73,0.69,0.55,0.52,0.69
minig.csv,0.73,0.64,0.4,0.65,0.15,0.41,0.62,0.75,0.15,0.51,0.43
ns-3.csv,0.74,0.66,0.67,0.52,0.17,0.49,0.71,0.59,0.15,0.48,0.72
omseek.csv,0.26,0.0,0.14,0.4,0.39,0.22,0.4,0.24,0.49,0.43,0.08
quickfast.csv,0.68,0.7,0.63,0.51,0.19,0.42,0.73,0.74,0.19,0.48,0.8
sylpheed-claws.csv,0.8,0.69,0.68,0.58,0.2,0.4,0.77,0.87,0.63,0.52,0.75
xamj.csv,0.75,0.7,0.63,0.53,0.23,0.37,0.64,0.69,0.54,0.61,0.71
