,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.53,0.26,0.3,0.84,0.51,0.67,0.7,0.52,1.0,0.78,1.0,0.72,0.33,1.0
emeraldemu.csv,0.39,0.2,0.13,0.85,0.64,0.6,0.52,0.67,0.28,1.0,0.88,1.0,1.0,0.19
frogatto.csv,0.48,0.17,0.12,0.81,0.36,0.45,0.56,0.27,0.23,0.72,0.71,0.71,0.33,0.23
grafx2.csv,0.42,0.22,0.32,0.84,0.51,0.51,0.58,0.38,0.29,0.83,0.76,0.83,0.55,0.26
jahshakafx.csv,0.58,0.24,0.24,0.84,0.47,0.53,0.56,0.61,0.31,0.86,0.83,0.78,0.42,0.21
nassp.csv,0.52,0.23,0.0,0.83,0.56,0.6,0.71,0.3,0.5,0.85,0.97,0.62,0.34,0.48
netatalk.csv,0.51,0.17,0.15,0.73,0.39,0.46,0.49,0.45,0.24,0.79,0.85,0.63,0.5,0.26
open-beos.csv,0.48,0.2,0.19,0.87,0.39,0.64,0.59,0.27,0.27,0.57,0.83,0.74,0.3,0.22
psycle.csv,0.34,0.15,0.19,0.78,0.38,0.47,0.52,0.36,0.21,0.64,0.76,0.67,0.27,0.19
quantlib.csv,0.3,0.12,0.0,0.66,0.31,0.4,1.0,0.0,0.21,0.91,0.71,0.0,0.0,0.37
reaper-ecad.csv,0.67,0.27,0.29,0.91,0.63,0.74,0.65,0.0,0.0,0.0,0.96,0.93,0.67,0.0
sbml.csv,0.36,0.21,0.19,0.75,0.33,0.51,0.59,0.38,0.22,0.74,0.86,0.64,0.34,0.26
unimrcp.csv,0.39,0.16,0.17,0.77,0.47,0.56,0.49,0.51,0.29,0.91,0.87,0.64,0.64,0.25
unladen-swallow.csv,0.58,0.22,0.11,0.8,0.36,0.53,0.7,0.45,1.0,0.79,0.81,0.67,0.42,0.25
