,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,166.0,686.0,567.0,292.5,282.5,105.0,98.5,271.5,19.5,97.5,91.5,98.5,188.0,51.5
emeraldemu.csv,2346.5,198.0,9653.5,97.5,1135.5,670.0,99.0,84.5,370.0,81.5,192.0,94.5,59.5,95.5
frogatto.csv,194.5,99.0,9915.0,294.5,2602.5,690.0,98.5,879.0,465.5,97.5,98.5,94.5,281.5,388.0
grafx2.csv,2346.5,198.0,1216.5,294.5,568.0,196.0,98.5,288.0,279.5,97.5,98.5,98.5,179.0,192.0
jahshakafx.csv,193.5,198.0,2288.0,97.5,2227.5,393.5,96.5,67.5,279.5,97.5,98.5,94.5,281.5,388.0
nassp.csv,190.5,99.0,0.0,97.5,1346.5,97.5,91.5,732.0,182.0,97.5,97.5,94.5,281.5,93.5
netatalk.csv,293.5,99.0,6999.0,393.0,1436.0,295.5,99.0,190.0,554.0,97.5,98.5,94.5,281.5,388.0
open-beos.csv,194.5,198.0,4324.5,97.5,1048.5,573.0,186.0,1168.5,524.0,97.5,95.5,94.5,380.5,95.5
psycle.csv,3126.5,198.0,4716.0,99.0,1727.5,492.0,97.5,288.0,649.5,97.5,98.5,98.5,281.5,388.0
quantlib.csv,4400.5,297.0,0.0,99.0,3755.0,986.5,69.5,0.0,743.0,94.5,98.5,0.0,0.0,93.5
reaper-ecad.csv,82.5,396.0,1950.5,177.0,459.5,374.0,91.5,0.0,0.0,0.0,85.5,94.5,59.5,0.0
sbml.csv,2912.0,99.0,5072.5,294.5,3370.5,97.5,98.5,478.5,743.0,97.5,97.5,98.5,281.5,95.5
unimrcp.csv,2445.5,99.0,6421.0,99.0,825.5,386.0,99.0,93.5,279.5,97.5,97.5,98.5,88.5,289.5
unladen-swallow.csv,92.5,99.0,255.0,97.5,1447.0,97.5,186.0,93.5,88.5,97.5,97.5,98.5,281.5,95.5
