,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.56,0.63,0.43,0.81,1.0,0.87,0.37,0.33,0.92,0.82
haphazard.csv,0.67,0.2,0.57,0.41,0.45,0.35,0.22,0.89,0.33,0.71
jicarilla.csv,0.06,0.0,0.24,0.01,0.0,0.03,0.04,0.67,0.0,0.0
ondex.csv,0.07,0.12,0.14,0.39,0.37,0.03,0.0,0.06,0.21,0.28
optalgtoolkit.csv,0.3,0.39,0.41,0.49,0.54,0.29,0.52,0.89,0.62,0.48
ossim.csv,0.35,0.18,0.32,0.28,0.04,0.32,0.56,0.89,0.42,0.67
projectts.csv,0.48,0.54,0.3,0.56,0.87,0.87,0.44,0.06,0.6,0.66
sabbu.csv,0.24,0.53,0.27,0.38,0.55,0.06,0.41,0.11,0.52,0.51
vxl.csv,0.39,0.36,0.24,0.35,0.7,0.81,0.11,0.11,0.54,0.55
zact.csv,0.57,0.09,0.16,0.31,0.24,0.0,0.59,0.28,0.12,0.11
