,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.43,0.45,0.75,0.4,0.34,0.32,0.62,0.45,0.34,0.37
haphazard.csv,0.53,0.81,0.61,0.63,0.6,0.61,0.84,0.38,0.62,0.4
jicarilla.csv,0.8,0.0,0.77,0.67,0.0,0.0,0.67,0.4,0.0,0.0
ondex.csv,0.55,0.96,0.8,0.5,0.63,0.5,0.0,0.8,0.72,0.67
optalgtoolkit.csv,0.52,0.55,0.62,0.41,0.48,0.5,0.41,0.34,0.38,0.44
ossim.csv,0.88,0.8,0.6,0.62,0.8,0.47,0.56,0.32,0.42,0.35
projectts.csv,0.46,0.57,0.54,0.55,0.36,0.29,0.58,0.67,0.32,0.38
sabbu.csv,0.46,0.56,0.92,0.55,0.55,0.5,0.52,0.86,0.62,0.5
vxl.csv,0.41,0.6,0.55,0.69,0.42,0.32,0.93,0.88,0.34,0.42
zact.csv,0.7,0.92,0.92,0.75,0.82,0.0,0.62,0.93,0.88,0.97
