,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.6,0.68,1.09,0.82,1.01,0.88,0.72,0.4,0.94,0.84
haphazard.csv,0.74,0.78,0.62,0.75,0.62,0.72,0.69,0.93,0.57,0.82
jicarilla.csv,0.97,1.0,0.26,1.0,1.0,1.0,0.95,0.82,1.0,1.0
ondex.csv,0.51,0.74,1.01,0.59,0.47,0.95,1.0,0.91,0.51,0.51
optalgtoolkit.csv,0.6,0.64,0.83,0.62,0.61,0.43,0.73,0.89,0.87,0.69
ossim.csv,0.84,0.78,0.82,0.34,1.0,0.71,0.74,0.9,0.81,0.72
projectts.csv,0.56,0.71,0.99,0.71,0.88,0.91,0.53,0.96,0.75,0.77
sabbu.csv,0.35,0.68,0.95,0.58,0.56,1.0,0.7,0.89,0.69,0.56
vxl.csv,0.62,0.6,0.97,0.56,0.9,0.87,0.71,0.87,0.59,0.82
zact.csv,0.76,0.95,0.83,0.7,0.37,1.0,0.73,0.82,0.85,0.68
