,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.13,0.26,0.27,0.16,0.25,0.01,0.31,0.08,0.0,0.39,0.28,0.23,0.08
bdbbasic.csv,0.41,0.16,0.42,0.16,0.31,0.41,0.41,0.18,0.0,0.63,0.46,0.26,0.22
echongl.csv,0.81,0.6,0.69,0.69,0.74,0.86,0.43,0.34,0.88,0.0,0.49,0.51,0.68
etherboot.csv,0.65,0.69,0.14,0.22,0.0,0.42,0.51,0.82,0.71,0.53,0.35,0.43,0.65
freebios.csv,0.52,0.19,0.45,0.62,0.52,0.36,0.0,0.68,0.47,0.29,0.53,0.42,0.59
gebr.csv,0.91,0.87,0.76,0.56,0.77,0.82,0.78,0.05,0.78,0.97,0.84,0.69,0.7
gnukeda.csv,0.49,0.43,0.49,0.0,0.52,0.32,0.43,0.45,0.06,0.24,0.38,0.58,0.59
google-gears.csv,0.69,0.27,0.29,0.72,0.75,0.76,0.96,1.0,0.76,1.0,0.93,0.6,0.08
jnode.csv,0.0,0.04,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11
openmeetings.csv,0.13,0.0,0.16,0.06,0.15,0.1,0.02,0.13,0.0,0.29,0.32,0.06,0.03
pgui.csv,0.35,0.29,0.15,0.19,0.38,0.2,0.12,0.26,0.14,0.34,0.0,0.3,0.38
tradelink.csv,0.16,0.01,0.06,0.0,0.21,0.62,0.24,0.0,0.27,0.13,0.49,0.0,0.03
wxcrp.csv,0.0,0.22,0.34,0.0,0.11,0.08,0.0,0.21,0.0,0.08,0.03,0.1,0.08
