,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.74,0.53,0.57,0.81,0.65,0.65,0.69,0.53,0.67,0.69,0.61,0.68,0.95
bdbbasic.csv,0.49,0.66,0.47,0.56,0.59,0.38,0.6,0.62,0.67,0.4,0.46,0.57,0.52
echongl.csv,0.46,0.58,0.52,0.53,0.52,0.64,0.73,0.85,0.44,0.36,0.6,0.51,0.61
etherboot.csv,0.49,0.48,0.98,0.93,0.82,0.77,0.7,0.69,0.57,0.69,0.81,0.67,0.63
freebios.csv,0.46,0.57,0.49,0.58,0.53,0.35,0.61,0.67,0.62,0.42,0.4,0.57,0.51
gebr.csv,0.41,0.35,0.37,0.49,0.42,0.45,0.39,0.47,0.4,0.3,0.41,0.39,0.42
gnukeda.csv,0.57,0.57,0.63,0.59,0.57,0.49,0.74,0.78,0.83,0.76,0.66,0.47,0.54
google-gears.csv,0.41,0.5,0.53,0.48,0.41,0.48,0.41,0.47,0.46,0.34,0.42,0.43,0.5
jnode.csv,0.0,0.89,0.93,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.89
openmeetings.csv,0.65,0.95,0.81,0.8,0.77,0.67,0.75,0.43,0.8,0.72,0.45,0.9,0.93
pgui.csv,0.84,0.69,0.98,0.79,0.71,0.62,0.94,0.8,0.92,0.59,0.74,0.77,0.79
tradelink.csv,0.77,0.5,0.96,0.88,0.89,0.71,0.92,0.5,0.6,0.49,0.57,0.95,0.96
wxcrp.csv,0.69,0.85,0.61,0.83,0.9,0.9,0.75,0.61,0.0,0.91,0.93,0.93,0.85
