,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.72,0.45,0.57,0.61,0.81,0.03,0.74,0.56,0.84,0.88,0.7,0.67,0.85
bdbbasic.csv,0.59,0.4,0.66,0.51,0.71,0.48,0.82,0.57,0.05,0.77,0.54,0.54,0.53
echongl.csv,0.85,0.85,0.78,0.75,0.76,0.96,0.75,0.75,0.88,0.01,0.74,0.57,0.78
etherboot.csv,0.7,0.82,0.95,0.85,0.0,0.84,0.78,0.94,0.89,0.88,0.77,0.81,0.78
freebios.csv,0.63,0.33,0.67,0.82,0.72,0.59,0.0,0.82,0.54,0.53,0.61,0.49,0.78
gebr.csv,0.92,0.88,0.82,0.64,0.79,0.83,0.87,0.06,0.78,0.97,0.84,0.81,0.72
gnukeda.csv,0.63,0.7,0.89,0.0,0.69,0.5,0.8,0.73,0.84,0.76,0.65,0.64,0.71
google-gears.csv,0.71,0.38,0.48,0.78,0.78,0.81,0.97,1.0,0.76,1.02,0.94,0.63,0.09
jnode.csv,1.0,0.86,0.06,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.96
openmeetings.csv,0.69,0.0,0.64,0.93,0.83,0.66,0.94,0.6,0.74,0.84,0.55,0.74,0.88
pgui.csv,0.73,0.66,0.83,0.69,0.74,0.81,0.8,0.66,0.75,0.77,0.02,0.65,0.77
tradelink.csv,0.7,1.0,1.0,0.79,0.76,0.78,0.79,0.98,0.45,0.43,0.69,0.0,0.79
wxcrp.csv,0.06,0.5,0.42,0.85,0.87,0.9,0.92,0.74,0.95,0.92,0.79,0.69,0.81
