,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.33,0.66,0.53,0.46,0.27,0.97,0.37,0.5,0.19,0.24,0.4,0.41,0.18
bdbbasic.csv,0.58,0.67,0.51,0.55,0.4,0.72,0.32,0.5,0.96,0.51,0.68,0.56,0.56
echongl.csv,0.47,0.41,0.52,0.55,0.57,0.35,0.42,0.38,0.41,0.99,0.46,0.67,0.52
etherboot.csv,0.61,0.48,0.07,0.21,1.0,0.3,0.42,0.38,0.42,0.31,0.36,0.35,0.5
freebios.csv,0.61,0.74,0.51,0.44,0.5,0.56,1.0,0.47,0.69,0.58,0.64,0.7,0.48
gebr.csv,0.32,0.41,0.5,0.62,0.54,0.52,0.45,0.97,0.55,0.13,0.48,0.49,0.61
gnukeda.csv,0.59,0.47,0.28,1.0,0.53,0.63,0.36,0.44,0.19,0.32,0.49,0.64,0.56
google-gears.csv,0.64,0.73,0.64,0.53,0.56,0.52,0.17,0.0,0.58,0.0,0.27,0.66,0.96
jnode.csv,0.0,0.17,0.95,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05
openmeetings.csv,0.37,1.0,0.43,0.1,0.21,0.4,0.07,0.47,0.31,0.24,0.57,0.3,0.15
pgui.csv,0.39,0.45,0.22,0.37,0.39,0.26,0.24,0.44,0.3,0.35,0.98,0.46,0.35
tradelink.csv,0.37,0.0,0.0,0.25,0.31,0.5,0.28,0.02,0.65,0.63,0.51,1.0,0.25
wxcrp.csv,0.95,0.58,0.73,0.18,0.17,0.13,0.1,0.33,0.06,0.1,0.25,0.37,0.24
