,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.31,0.22,0.52,0.09,0.26,0.22,0.0,0.0,0.06,0.39,0.0,0.16,0.01,0.48
bdbbasic.csv,0.6,0.52,0.57,0.34,0.43,0.56,0.12,0.0,0.16,0.95,0.15,0.41,0.04,0.68
echongl.csv,0.39,0.1,0.92,0.47,0.72,0.54,0.25,0.11,0.49,0.21,0.5,0.36,0.43,0.58
etherboot.csv,0.04,0.08,0.0,0.03,0.31,0.09,0.08,0.79,0.12,0.0,0.97,0.0,0.0,0.97
ffigo.csv,0.09,0.08,0.49,0.22,0.2,0.5,0.0,0.0,0.27,0.16,0.0,0.36,0.0,0.0
freebios.csv,0.71,0.15,0.42,0.66,0.51,0.24,0.24,0.76,0.67,0.18,0.34,0.68,0.43,0.16
gebr.csv,0.99,1.0,0.89,0.97,0.8,1.0,1.0,0.13,1.0,1.0,0.8,0.95,0.97,1.0
gnukeda.csv,0.76,0.58,0.61,0.28,0.79,0.62,0.45,0.24,0.18,0.79,0.45,0.34,0.14,0.9
gstreamer.csv,0.76,0.93,0.65,0.38,0.75,0.91,0.84,0.08,0.86,0.87,0.75,0.84,0.26,1.0
jnode.csv,0.03,0.2,0.21,0.25,0.08,0.04,0.04,0.34,0.1,0.08,0.06,0.09,0.05,0.0
metacosm.csv,0.12,0.46,0.56,0.19,0.2,0.12,0.12,0.03,0.04,0.53,0.25,0.2,0.07,0.26
openmeetings.csv,0.13,0.19,0.28,0.03,0.46,0.22,0.0,0.0,0.08,0.61,0.29,0.14,0.06,0.32
pgui.csv,0.64,0.99,0.0,0.5,0.72,0.78,0.65,0.32,0.82,0.39,0.33,0.02,0.0,1.0
wxcrp.csv,0.31,0.86,0.98,0.75,1.0,0.34,0.29,1.0,0.24,0.24,0.43,0.11,0.25,0.9
