,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.36,0.21,0.5,0.18,0.36,0.62,0.0,0.05,0.25,0.41,0.0,0.3,0.01,0.36
bdbbasic.csv,0.67,0.46,0.44,0.42,0.47,0.74,0.12,0.11,0.71,0.21,0.48,0.66,0.35,0.62
echongl.csv,0.56,0.41,0.3,0.55,0.57,0.56,0.28,0.53,0.71,0.85,0.55,0.58,0.62,0.47
etherboot.csv,0.19,0.64,0.0,0.06,0.53,0.13,0.17,0.49,0.58,0.0,0.13,0.0,0.0,0.13
ffigo.csv,0.19,0.27,0.55,0.4,0.21,0.61,0.02,0.05,0.51,0.39,0.0,0.78,0.0,0.0
freebios.csv,0.45,0.21,0.28,0.5,0.46,0.26,0.79,0.35,0.43,0.56,0.53,0.52,0.25,0.34
gebr.csv,0.05,0.0,0.36,0.13,0.52,0.0,0.0,0.63,0.0,0.0,0.55,0.21,0.13,0.0
gnukeda.csv,0.6,0.74,0.47,0.7,0.53,0.69,0.32,0.56,0.42,0.46,0.62,0.59,0.3,0.35
gstreamer.csv,0.58,0.26,0.21,0.6,0.53,0.33,0.39,0.6,0.44,0.4,0.55,0.42,0.71,0.0
jnode.csv,0.0,0.36,0.81,0.37,0.0,0.0,0.15,0.3,0.19,0.11,0.02,0.09,0.05,0.0
metacosm.csv,0.4,0.58,0.57,0.37,0.17,0.4,0.05,0.46,0.3,0.36,0.44,0.4,0.3,0.74
openmeetings.csv,0.53,0.89,0.64,0.18,0.51,0.55,0.05,0.41,0.37,0.46,0.64,0.44,0.28,0.55
pgui.csv,0.52,0.05,0.0,0.63,0.59,0.49,0.48,0.69,0.48,0.22,0.71,0.04,0.0,0.0
wxcrp.csv,0.51,0.43,0.09,0.51,0.0,0.59,0.31,0.0,0.51,0.6,0.62,0.42,0.55,0.34
