,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.73,0.97,0.67,0.89,0.74,0.47,0.0,0.75,0.86,0.55,0.0,0.85,0.67,0.88
bdbbasic.csv,0.4,0.56,0.53,0.42,0.47,0.36,0.91,0.89,0.52,0.29,0.63,0.36,0.76,0.49
echongl.csv,0.48,0.95,0.42,0.43,0.44,0.49,0.64,0.47,0.41,0.37,0.48,0.41,0.39,0.61
etherboot.csv,0.88,0.88,0.0,0.67,0.6,0.91,0.91,0.56,0.75,0.0,0.41,0.0,0.0,0.41
ffigo.csv,0.92,0.94,0.61,0.52,0.94,0.62,0.0,0.75,0.64,0.65,0.0,0.41,0.0,0.0
freebios.csv,0.57,0.96,0.7,0.65,0.68,0.96,0.63,0.87,0.62,0.57,0.77,0.52,0.99,0.85
gebr.csv,0.41,0.38,0.41,0.43,0.41,0.5,0.39,0.49,0.4,0.29,0.41,0.38,0.38,0.41
gnukeda.csv,0.45,0.47,0.51,0.53,0.45,0.48,0.62,0.49,0.88,0.39,0.56,0.47,0.88,0.41
gstreamer.csv,0.45,0.42,0.54,0.46,0.44,0.48,0.44,0.47,0.4,0.34,0.41,0.41,0.43,0.41
jnode.csv,0.5,0.76,0.76,0.57,0.8,0.67,0.88,0.89,0.88,0.92,0.88,0.89,0.93,0.0
metacosm.csv,0.75,0.47,0.42,0.68,0.8,0.57,0.88,0.49,0.86,0.52,0.56,0.56,0.8,0.39
openmeetings.csv,0.6,0.56,0.54,0.86,0.44,0.41,0.5,0.54,0.8,0.42,0.52,0.53,0.87,0.42
pgui.csv,0.56,0.38,0.0,0.52,0.45,0.48,0.53,0.56,0.45,0.85,0.59,0.67,0.0,0.41
wxcrp.csv,0.5,0.44,0.4,0.49,0.41,0.38,0.61,0.46,0.62,0.45,0.5,0.58,0.44,0.46
