,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.47,0.13,0.6,0.6,0.17,0.32,0.64,1.0,0.29,0.45,0.6,0.57,0.48,0.23,0.5,0.17,0.74,0.21,0.42,0.73
decidr.csv,0.51,0.07,0.49,0.63,0.16,0.4,0.76,0.62,0.29,0.36,1.0,0.55,0.38,0.39,0.6,0.12,0.69,0.32,0.39,0.6
elmo.csv,0.11,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.11,0.0,0.62,1.0,1.0,0.0,1.0,0.12,0.0,0.0,0.0,0.42
gpac.csv,0.46,0.08,0.48,0.53,0.18,0.36,0.84,0.6,0.4,0.29,0.6,1.0,0.57,0.29,0.59,0.14,0.68,0.33,0.46,0.65
img-browse-sort.csv,0.61,0.07,0.68,0.75,0.55,0.43,0.92,1.0,0.56,0.5,0.67,0.59,0.7,0.35,0.79,0.2,0.58,1.0,0.48,0.72
jajuk.csv,0.57,0.09,0.5,1.0,0.26,0.24,0.68,0.72,0.42,0.48,0.71,0.58,0.61,0.27,0.57,0.18,0.73,0.32,0.44,0.64
ktc.csv,0.98,0.0,0.62,0.61,0.38,0.33,0.7,0.77,0.66,0.46,0.64,0.61,0.69,0.26,0.62,0.21,0.85,0.24,0.5,0.7
nativeclient.csv,0.49,0.05,0.41,0.59,0.18,0.32,0.74,0.74,0.36,0.36,0.6,0.55,0.57,0.48,0.45,0.13,0.71,0.27,0.35,0.99
neoengine.csv,0.52,0.07,0.98,0.56,0.26,0.24,0.59,0.67,0.31,0.33,0.74,0.51,0.49,0.2,0.54,0.12,0.6,0.3,0.51,0.67
nicepress.csv,0.65,0.1,0.61,0.55,0.25,0.22,0.83,0.65,0.54,1.0,0.64,0.65,0.43,0.33,0.71,0.24,0.86,0.0,0.51,0.71
omseek.csv,0.56,0.0,0.67,0.4,0.2,0.28,0.56,1.0,0.41,0.35,0.5,0.54,0.0,0.24,0.56,0.97,1.0,0.12,0.4,0.6
rosegarden.csv,0.79,0.05,0.52,0.85,0.41,0.28,0.81,0.67,1.0,0.47,0.75,0.65,0.66,0.28,0.72,0.16,0.78,0.46,0.48,0.51
sigil.csv,0.6,0.06,0.59,0.76,0.22,0.37,0.81,0.73,0.42,0.55,0.7,0.66,0.64,0.36,0.5,0.17,1.0,0.54,0.28,0.78
smarttag.csv,0.5,0.07,0.59,0.75,0.42,0.21,0.75,0.66,0.39,0.47,0.78,0.53,0.47,1.0,0.53,0.17,0.67,0.0,0.32,0.61
sylpheed-claws.csv,0.52,0.1,0.45,0.71,0.22,0.34,0.72,0.71,0.46,0.39,0.59,0.65,0.99,0.29,0.61,0.18,0.65,0.12,0.45,0.75
tango-cs.csv,0.69,0.0,0.51,0.86,0.23,0.45,0.67,1.0,0.43,0.36,0.79,0.5,0.4,0.23,0.57,0.25,0.67,0.5,0.98,0.56
vapor.csv,0.62,0.0,0.47,0.53,0.13,1.0,0.87,0.78,0.36,0.47,0.64,0.5,0.6,0.24,0.55,0.18,0.81,0.33,0.48,0.64
xemeiah.csv,0.78,0.12,0.59,0.83,0.27,0.45,0.73,0.75,0.51,0.54,0.79,0.53,0.56,0.33,1.0,0.25,0.78,0.4,0.42,0.56
zorannt.csv,0.41,0.07,0.34,0.45,1.0,0.21,0.64,0.66,0.37,0.34,0.6,0.53,0.43,0.36,0.47,0.1,0.78,0.4,0.4,0.6
zscreen.csv,0.52,0.05,0.49,0.52,0.13,0.27,1.0,0.7,0.32,0.41,0.57,0.53,0.49,0.28,0.52,0.15,0.66,0.25,0.4,0.63
