,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.53,0.4,0.25,0.41,0.35,0.35,0.33,0.0,0.6,0.35,0.45,0.72,0.67,0.26,0.47,0.34,0.32,0.5,0.59,0.24
decidr.csv,0.44,0.42,0.45,0.4,0.65,0.37,0.3,0.24,0.67,0.46,0.0,0.74,0.35,0.28,0.32,0.47,0.43,0.61,0.41,0.57
elmo.csv,0.05,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.07,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.01,0.07
gpac.csv,0.29,0.16,0.29,0.28,0.47,0.42,0.19,0.39,0.27,0.32,0.5,0.0,0.29,0.62,0.37,0.29,0.32,0.26,0.22,0.25
img-browse-sort.csv,0.14,0.21,0.04,0.12,0.04,0.06,0.07,0.0,0.06,0.14,0.3,0.15,0.02,0.38,0.05,0.12,0.14,0.0,0.32,0.07
jajuk.csv,0.29,0.6,0.33,0.0,0.26,0.31,0.41,0.24,0.34,0.33,0.33,0.68,0.27,0.41,0.4,0.38,0.27,0.45,0.51,0.4
ktc.csv,0.01,0.03,0.2,0.2,0.15,0.25,0.11,0.1,0.12,0.22,0.17,0.15,0.12,0.36,0.28,0.21,0.14,0.34,0.38,0.12
nativeclient.csv,0.59,0.27,0.66,0.5,0.47,0.45,0.3,0.55,0.45,0.54,0.56,0.45,0.4,0.33,0.68,0.59,0.43,0.79,0.7,0.02
neoengine.csv,0.47,0.93,0.01,0.43,0.21,0.76,0.85,0.82,0.48,0.7,0.18,0.79,0.91,0.21,0.41,0.62,0.46,0.42,0.35,0.35
nicepress.csv,0.19,0.28,0.12,0.15,0.15,0.3,0.04,0.63,0.2,0.0,0.15,0.38,0.63,0.1,0.1,0.12,0.03,0.16,0.32,0.06
omseek.csv,0.29,0.09,0.01,0.64,0.06,0.48,0.56,0.0,0.09,0.35,0.6,0.13,0.0,0.82,0.15,0.0,0.0,0.39,0.8,0.08
rosegarden.csv,0.09,0.3,0.29,0.07,0.17,0.44,0.19,0.57,0.0,0.29,0.18,0.23,0.18,0.33,0.19,0.27,0.22,0.18,0.35,0.4
sigil.csv,0.3,0.43,0.27,0.14,0.43,0.44,0.22,0.37,0.28,0.33,0.24,0.32,0.23,0.18,0.46,0.41,0.0,0.16,0.26,0.16
smarttag.csv,0.16,1.0,0.12,0.06,0.08,0.31,0.11,0.96,0.25,0.14,0.1,0.87,0.94,0.0,0.1,0.21,0.11,0.13,0.39,0.07
sylpheed-claws.csv,0.32,0.28,0.51,0.2,0.35,0.32,0.41,0.55,0.23,0.33,0.51,0.38,0.01,0.62,0.28,0.28,0.19,0.37,0.58,0.15
tango-cs.csv,0.14,0.01,0.19,0.04,0.2,0.15,0.15,0.0,0.19,0.43,0.11,0.09,0.21,0.44,0.41,0.15,0.05,0.03,0.01,0.5
vapor.csv,0.19,0.01,0.23,0.16,0.35,0.0,0.07,0.08,0.33,0.23,0.25,0.06,0.02,0.49,0.19,0.36,0.19,0.16,0.42,0.23
xemeiah.csv,0.11,0.22,0.2,0.11,0.33,0.17,0.15,0.35,0.19,0.16,0.11,0.45,0.36,0.26,0.0,0.16,0.14,0.16,0.54,0.27
zorannt.csv,0.37,0.78,0.59,0.57,0.0,0.68,0.48,0.94,0.22,0.45,0.33,1.0,0.89,0.59,0.55,0.6,0.19,0.24,0.72,0.57
zscreen.csv,0.55,0.61,0.42,0.81,0.87,0.8,0.0,0.8,0.67,0.54,0.87,0.66,0.74,0.85,0.65,0.6,0.54,0.95,0.86,0.45
