,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
algebsql.csv,0.99,0.98,0.96,0.97,0.73,0.75,0.79,0.9,0.7,0.53,0.85,0.81,0.97,0.92,0.71,0.48,0.61,0.93,0.9,0.47,0.92,0.78,0.74,0.53,0.95,0.45,0.52,0.73,0.27,0.75,0.86,0.5,0.91,0.8,0.51,0.77,0.69,0.62,0.8,0.83,0.73,0.67,0.91,0.49,0.45,0.99,0.8,0.77,0.38,0.89,0.47,0.87,0.7,0.9,0.83,0.4,0.56,0.96,0.65,0.98,0.74,0.67,0.8,0.97
bochs.csv,0.39,0.38,0.4,0.46,0.63,0.49,0.41,0.37,0.45,0.83,0.39,0.46,0.56,0.38,0.47,0.4,0.65,0.42,0.42,0.33,0.45,0.4,0.46,0.48,0.45,0.39,0.78,0.49,0.27,0.46,0.57,0.58,0.67,0.57,0.43,0.38,0.46,0.3,0.42,0.39,0.45,0.4,0.35,0.51,0.36,0.54,0.52,0.4,0.39,0.64,0.33,0.55,0.44,0.41,0.35,0.38,0.49,0.48,0.46,0.52,0.63,0.49,0.45,0.53
boost-sandbox.csv,0.45,0.44,0.68,0.45,0.68,0.72,0.37,0.4,0.93,0.97,0.4,0.5,0.54,0.42,0.4,0.54,0.39,0.34,0.42,0.69,0.37,0.46,0.46,0.55,0.67,0.57,0.93,0.53,0.25,0.5,0.7,0.63,0.46,0.5,0.43,0.45,0.57,0.91,0.43,0.62,0.44,0.45,0.42,0.52,0.41,0.83,0.53,0.45,0.44,0.32,0.56,0.49,0.71,0.41,0.35,0.43,0.44,0.38,0.53,0.46,0.67,0.59,0.57,0.4
botsnscouts.csv,0.36,0.37,0.38,0.39,0.51,0.33,0.36,0.34,0.39,0.27,0.39,0.47,0.45,0.33,0.35,0.57,0.4,0.32,0.35,0.3,0.35,0.38,0.41,0.35,0.36,0.46,0.57,0.5,0.26,0.42,0.38,0.38,0.36,0.42,0.31,0.33,0.42,0.35,0.35,0.33,0.41,0.43,0.33,0.36,0.33,0.39,0.46,0.35,0.34,0.3,0.34,0.42,0.35,0.34,0.33,0.4,0.35,0.33,0.38,0.38,0.46,0.39,0.36,0.39
bscwweasel.csv,0.57,0.61,0.85,0.47,0.98,0.42,0.48,0.43,0.62,0.67,0.5,0.49,0.64,0.45,0.45,0.85,0.42,0.81,0.39,0.65,0.7,0.96,0.8,0.9,0.7,0.51,0.96,0.57,0.26,0.64,0.88,0.41,0.59,0.78,0.41,0.42,0.46,0.41,0.88,0.59,0.6,0.88,0.43,0.52,0.8,0.45,0.96,0.79,0.35,0.67,0.53,0.73,0.57,0.44,0.59,0.89,0.53,0.83,0.62,0.63,0.54,0.73,0.73,0.51
bzbyte.csv,0.0,0.0,0.41,0.0,0.0,0.35,0.6,0.41,0.0,0.5,0.41,0.47,0.45,0.33,0.37,0.0,0.35,0.33,0.0,0.32,0.37,0.83,0.83,0.0,0.0,0.83,0.43,0.41,0.0,0.49,0.39,0.0,0.32,0.46,0.83,0.0,0.83,0.0,0.43,0.0,0.0,0.39,0.39,0.0,0.36,0.0,0.0,0.38,0.0,0.34,0.35,0.0,0.41,0.96,0.34,0.39,0.0,0.46,0.45,0.0,0.38,0.0,0.44,0.42
capcode.csv,0.44,0.52,0.4,0.59,0.73,0.71,0.41,0.43,0.54,0.83,0.44,0.48,0.5,0.48,0.58,0.73,0.66,0.32,0.4,0.47,0.42,0.67,0.6,0.6,0.56,0.48,0.86,0.45,0.24,0.93,0.8,0.71,0.39,0.66,0.42,0.54,0.55,0.32,0.94,0.65,0.46,0.7,0.55,0.47,0.38,0.57,0.58,0.62,0.5,0.59,0.35,0.62,0.45,0.5,0.35,0.5,0.5,0.51,0.52,0.48,0.69,0.78,0.57,0.51
cme.csv,0.83,0.94,0.0,0.5,0.83,0.0,0.88,0.5,0.75,0.0,0.86,0.0,0.75,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.75,0.83,0.8,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.88,0.0,0.86,0.75,0.86,0.92,0.8,0.86,0.67,0.67,0.0,0.8,0.93,0.0,0.75,0.9,0.0,0.0,0.0,0.5,0.75,0.67,0.96,0.0,0.0,0.98,0.0,0.75,0.86,0.0,0.93,0.83,0.5
dspace-gsoc.csv,0.4,0.41,0.37,0.42,0.42,0.34,0.45,0.42,0.41,0.27,0.32,0.49,0.51,0.36,0.36,0.36,0.35,0.38,0.36,0.34,0.37,0.39,0.37,0.39,0.35,0.42,0.55,0.55,0.25,0.4,0.38,0.5,0.34,0.47,0.48,0.39,0.43,0.33,0.4,0.4,0.42,0.39,0.38,0.36,0.36,0.7,0.47,0.36,0.34,0.29,0.43,0.48,0.46,0.37,0.37,0.36,0.35,0.33,0.44,0.44,0.67,0.42,0.43,0.43
emite.csv,0.66,0.79,0.9,0.84,0.9,0.8,0.78,0.88,0.86,0.46,0.46,0.71,0.88,0.92,0.8,0.91,0.93,0.67,0.94,0.5,0.52,0.55,0.55,0.99,0.76,0.93,0.8,0.82,0.95,0.0,0.85,0.93,0.89,0.77,0.71,0.89,0.79,0.67,0.89,0.95,0.9,0.88,0.73,0.88,0.0,0.94,0.96,0.92,0.95,0.43,0.0,0.85,0.89,0.61,0.69,0.89,0.8,0.78,0.85,0.93,0.88,0.97,0.98,0.94
