,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
algebsql.csv,0.93,0.95,0.76,0.84,0.88,0.92,0.78,0.99,0.66,0.8,0.93,0.85,0.82,0.88,0.64,0.9,0.98,0.8,0.89,0.66,0.9,0.94,0.94,0.69,0.55,0.91,0.85,0.2,0.99,0.81,0.9,0.97,0.94,0.89,0.92,0.54,0.98,0.76,0.94,0.74,0.77,0.89,0.79,1.03,0.95,1.08,0.77,0.85,0.82,0.83,1.08,0.83,0.71,0.74,0.93,0.86,0.87,0.54,0.79,0.86,1.06,0.73,0.74,0.74
bochs.csv,0.87,0.73,0.67,0.55,0.43,0.71,0.73,0.86,1.02,0.96,0.88,0.47,0.68,0.47,0.7,0.87,0.6,0.6,0.72,0.84,0.77,0.55,0.46,0.55,0.85,0.79,0.42,0.84,0.95,0.79,0.78,0.52,0.71,0.7,0.66,0.81,0.87,0.67,0.68,0.43,0.73,0.61,0.68,0.71,0.9,0.62,0.79,0.63,0.62,1.18,1.03,0.56,0.53,0.64,0.73,0.7,0.65,0.74,0.82,0.77,0.49,0.62,0.65,0.6
boost-sandbox.csv,0.67,0.55,0.84,0.62,0.81,0.74,0.93,0.64,0.83,0.8,0.76,0.55,0.58,0.65,0.66,0.54,0.77,0.88,0.69,0.7,0.88,0.9,0.56,0.68,0.36,0.83,0.82,0.93,1.01,0.86,0.84,0.63,0.86,0.71,0.76,0.59,0.73,0.8,0.69,0.72,0.62,0.77,0.7,0.86,0.7,0.89,0.72,0.83,0.71,0.24,0.57,0.81,0.63,0.68,0.89,0.55,0.77,0.73,0.52,0.82,0.63,0.61,0.29,0.61
botsnscouts.csv,0.62,0.62,0.64,0.47,0.57,0.87,0.67,0.95,0.83,0.94,0.43,0.83,0.7,1.0,0.98,0.75,0.66,0.89,1.0,0.83,0.61,0.5,0.56,0.81,0.79,0.74,0.98,0.69,0.99,0.61,0.8,0.61,0.57,0.71,0.66,0.77,0.49,0.47,0.51,1.0,0.46,0.59,0.86,0.45,0.72,0.35,0.63,0.55,0.69,0.13,0.29,0.59,0.55,0.92,1.0,0.37,0.62,0.88,0.49,0.65,0.58,0.44,0.56,0.44
bscwweasel.csv,0.51,0.52,0.84,0.54,0.79,0.65,0.51,0.62,0.62,0.98,0.93,0.48,0.41,0.57,0.61,0.8,0.69,0.73,0.68,0.72,0.75,0.84,0.98,0.82,0.61,0.81,0.6,0.67,0.86,0.79,0.9,0.73,0.66,0.88,0.78,0.57,0.5,0.51,0.82,0.64,0.54,0.92,0.77,0.52,0.12,0.36,0.71,0.68,0.89,0.94,0.67,0.63,0.63,0.55,0.92,0.79,0.61,0.75,0.62,0.63,0.42,0.52,0.49,0.44
bzbyte.csv,1.0,1.0,0.75,1.0,1.0,0.96,0.49,0.34,1.0,0.99,0.95,0.99,0.87,1.0,0.74,1.0,0.98,1.0,1.0,0.93,1.0,0.93,0.97,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.81,0.85,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.83,1.0,1.0,1.01,1.0,1.0,1.02,1.0,0.69,0.89,1.0,0.7,1.0,0.57,1.0,1.0,1.0,1.0,0.92,1.0
capcode.csv,0.81,0.81,0.77,0.73,0.86,0.64,0.74,0.6,0.84,0.97,0.8,0.96,0.8,0.57,0.34,0.68,0.6,0.81,0.85,0.86,0.91,0.87,0.76,0.68,0.93,0.83,0.53,0.81,0.99,0.88,0.98,0.63,0.91,0.61,0.98,1.08,0.89,0.88,0.83,0.84,0.87,0.72,0.84,0.48,0.85,0.97,0.63,0.74,0.81,1.13,1.01,0.67,0.89,0.72,0.9,0.71,0.74,0.42,0.79,0.75,0.44,0.72,0.49,0.53
cme.csv,1.0,1.0,1.0,0.98,1.0,1.0,0.95,0.96,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.96,1.0,1.0,1.0,0.96,0.97,0.99,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.01,1.0,0.9,0.95,0.04,0.95,0.84,0.92,0.96,1.0,1.0,0.92,0.87,1.0,0.98,0.99,1.0,0.97,0.98,0.97,0.97,0.7,0.91,1.0,1.0,0.9,1.0,1.0,0.99,1.0,0.9,1.0,0.98
dspace-gsoc.csv,0.74,0.63,0.98,0.61,0.63,0.99,0.62,0.86,0.67,0.92,0.7,0.75,0.85,0.94,1.0,0.73,0.99,0.87,0.99,1.05,0.95,0.48,0.56,0.89,0.81,0.57,0.91,0.9,1.04,0.56,1.0,0.42,1.0,0.74,0.53,0.65,0.48,0.87,0.6,0.8,0.61,0.59,0.42,0.48,1.13,0.93,0.72,0.52,0.72,0.09,1.07,0.95,0.69,0.93,0.88,0.5,0.64,0.96,0.57,0.97,0.8,0.72,0.49,0.95
emite.csv,0.66,0.77,0.89,0.77,0.78,0.93,0.76,0.85,0.99,0.54,0.87,0.76,0.94,0.83,0.95,0.93,0.95,1.0,0.91,1.0,0.52,0.56,0.59,0.87,0.55,0.68,0.94,0.95,0.92,0.97,0.81,0.78,0.88,0.81,0.74,1.01,0.73,0.91,0.9,0.75,0.65,0.92,0.73,0.96,1.0,0.96,0.93,0.85,0.76,0.48,1.0,0.74,0.89,0.76,0.87,0.87,0.71,0.78,0.71,0.87,0.81,0.94,0.97,0.87
