,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
algebsql.csv,0.13,0.07,0.33,0.2,0.44,0.1,0.37,0.09,0.57,0.42,0.24,0.36,0.24,0.17,0.52,0.39,0.22,0.26,0.13,0.6,0.16,0.37,0.39,0.54,0.56,0.36,0.47,0.84,0.05,0.49,0.12,0.3,0.14,0.13,0.4,0.61,0.36,0.41,0.36,0.33,0.38,0.43,0.26,0.0,0.36,0.06,0.4,0.39,0.51,0.2,0.0,0.29,0.51,0.34,0.09,0.47,0.43,0.54,0.42,0.22,0.0,0.49,0.33,0.3
bochs.csv,0.42,0.62,0.63,0.61,0.73,0.52,0.62,0.45,0.0,0.05,0.41,0.71,0.65,0.69,0.63,0.42,0.53,0.68,0.58,0.48,0.56,0.66,0.74,0.63,0.47,0.52,0.63,0.46,0.21,0.54,0.36,0.62,0.34,0.53,0.58,0.54,0.43,0.67,0.59,0.72,0.62,0.65,0.58,0.56,0.38,0.61,0.55,0.65,0.72,0.0,0.0,0.71,0.62,0.65,0.52,0.61,0.64,0.49,0.52,0.53,0.62,0.65,0.66,0.56
boost-sandbox.csv,0.65,0.69,0.26,0.55,0.49,0.35,0.27,0.58,0.23,0.25,0.55,0.54,0.6,0.66,0.56,0.68,0.53,0.41,0.59,0.37,0.39,0.39,0.69,0.47,0.78,0.36,0.21,0.14,0.22,0.44,0.24,0.52,0.43,0.45,0.55,0.69,0.5,0.26,0.56,0.4,0.7,0.55,0.56,0.46,0.68,0.17,0.58,0.48,0.51,0.81,0.49,0.52,0.44,0.62,0.38,0.62,0.56,0.65,0.57,0.5,0.45,0.56,0.77,0.73
botsnscouts.csv,0.72,0.72,0.54,0.67,0.68,0.42,0.66,0.24,0.48,0.24,0.75,0.49,0.62,0.0,0.13,0.35,0.59,0.37,0.0,0.51,0.7,0.67,0.53,0.51,0.52,0.37,0.15,0.55,0.05,0.64,0.53,0.66,0.68,0.58,0.66,0.6,0.65,0.7,0.71,0.0,0.79,0.6,0.45,0.72,0.66,0.73,0.67,0.63,0.65,0.96,0.75,0.72,0.73,0.3,0.0,0.71,0.67,0.41,0.71,0.64,0.6,0.74,0.71,0.77
bscwweasel.csv,0.62,0.57,0.2,0.7,0.27,0.54,0.68,0.46,0.53,0.02,0.09,0.65,0.67,0.58,0.52,0.27,0.58,0.34,0.64,0.37,0.36,0.23,0.05,0.22,0.5,0.44,0.45,0.43,0.44,0.48,0.12,0.65,0.41,0.17,0.55,0.6,0.62,0.65,0.28,0.44,0.57,0.11,0.41,0.59,0.97,0.7,0.34,0.39,0.42,0.07,0.38,0.44,0.51,0.58,0.29,0.26,0.54,0.29,0.45,0.45,0.76,0.54,0.57,0.63
bzbyte.csv,0.0,0.0,0.54,0.0,0.0,0.17,0.58,0.75,0.0,0.01,0.21,0.05,0.42,0.0,0.62,0.0,0.09,0.0,0.0,0.27,0.0,0.09,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.54,0.18,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.15,0.0,0.57,0.0,0.68,0.0,0.0,0.0,0.0,0.3,0.0
capcode.csv,0.51,0.44,0.55,0.42,0.46,0.49,0.6,0.63,0.48,0.04,0.54,0.17,0.53,0.58,0.8,0.48,0.52,0.52,0.46,0.35,0.41,0.43,0.53,0.56,0.4,0.48,0.53,0.53,0.24,0.16,0.04,0.59,0.41,0.63,0.2,0.21,0.43,0.41,0.28,0.34,0.43,0.47,0.34,0.73,0.46,0.13,0.66,0.49,0.42,0.0,0.0,0.51,0.43,0.51,0.37,0.49,0.56,0.87,0.54,0.58,0.63,0.38,0.61,0.64
cme.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.05,0.06,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.13,0.07,0.99,0.07,0.19,0.11,0.05,0.0,0.0,0.1,0.21,0.0,0.02,0.01,0.0,0.04,0.02,0.04,0.04,0.42,0.11,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.12,0.0,0.02
dspace-gsoc.csv,0.62,0.67,0.09,0.61,0.45,0.09,0.55,0.46,0.44,0.3,0.64,0.59,0.47,0.27,0.0,0.55,0.05,0.44,0.05,0.0,0.21,0.63,0.51,0.39,0.41,0.65,0.18,0.24,0.23,0.56,0.0,0.65,0.0,0.38,0.58,0.66,0.64,0.43,0.5,0.53,0.69,0.59,0.71,0.6,0.14,0.31,0.58,0.66,0.64,0.93,0.0,0.24,0.55,0.27,0.4,0.75,0.64,0.17,0.63,0.13,0.24,0.6,0.69,0.24
emite.csv,0.45,0.34,0.13,0.3,0.27,0.1,0.33,0.22,0.02,0.61,0.32,0.31,0.12,0.22,0.1,0.09,0.06,0.0,0.13,0.0,0.62,0.53,0.48,0.19,0.52,0.38,0.07,0.14,0.11,0.04,0.27,0.29,0.15,0.27,0.37,0.0,0.33,0.11,0.14,0.3,0.43,0.11,0.35,0.07,0.0,0.05,0.09,0.21,0.28,0.58,0.0,0.35,0.16,0.44,0.31,0.18,0.36,0.29,0.36,0.2,0.24,0.09,0.07,0.16
