,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.64,0.39,0.34,0.7
jajuk.csv,0.74,0.35,0.47,0.77
vapor.csv,0.51,0.24,0.42,0.19
zorannt.csv,0.59,0.48,0.36,0.73
