,f1,g,recall,precision,pf,wins
brlcad.csv,0.29,0.32,0.34,0.57,0.26,2
ftm.csv,0.46,0.48,0.44,0.66,0.25,8
google-web-toolkit.csv,0.58,0.53,0.52,0.63,0.34,11
gzigzag.csv,0.34,0.37,0.33,0.62,0.2,4
illumination.csv,0.03,0.0,0.01,0.33,0.0,0
jcache.csv,0.67,0.51,0.88,0.56,0.79,9
moast.csv,0.38,0.38,0.41,0.42,0.35,1
nativeclient.csv,0.58,0.6,0.67,0.6,0.51,12
ns-3-dev-def-routing.csv,0.57,0.51,0.57,0.6,0.37,10
openfrag.csv,0.59,0.5,0.71,0.48,0.62,6
qdvdauthor.csv,0.51,0.51,0.57,0.52,0.46,5
sauerbraten.csv,0.63,0.29,0.94,0.47,0.92,3
zoolib.csv,0.49,0.46,0.44,0.62,0.31,7
