,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.57,0.22,0.35,0.6,0.29,0.27,0.0
gstreamer.csv,0.74,0.44,0.85,0.66,0.84,0.26,0.33
ifmo-game-1.csv,0.23,0.06,0.14,0.05,0.16,0.22,0.0
pi-qmc.csv,0.36,0.34,0.49,0.55,0.2,0.86,0.78
quarkplusplus.csv,0.34,0.34,0.36,0.08,0.04,0.1,0.22
xapian.csv,0.64,0.66,0.72,0.22,0.54,0.43,0.33
zemljanka.csv,0.6,0.78,0.96,0.94,0.77,0.64,0.0
