,id,expected,max_bell,avge,median,bellwether,size
56,2,1,2,1.5,0.925,logicmail.csv,2
51,3,2,6,3.33,1.0,benojt.csv,6
49,4,5,12,6.44,0.97,libopenmetaverse.csv,16
57,5,2,4,1.4,0.8,springside.csv,5
24,6,7,20,8.5,1.0,google-collections.csv,20
19,7,4,8,4.0,0.77,joustsim.csv,13
28,8,4,8,3.91,0.95,primefaces.csv,11
17,9,2,5,2.33,0.7,ambulant.csv,6
18,11,0,1,1.0,0.86,atunes.csv,1
52,12,1,2,1.5,0.745,gpsmid.csv,2
58,14,1,1,1.0,0.63,amanda.csv,3
50,15,6,20,8.79,0.99,werx.csv,20
21,16,4,13,4.77,0.95,gebr.csv,13
26,17,3,7,3.0,1.0,enlightenment.csv,8
15,18,5,15,7.44,0.955,arianne.csv,16
27,19,1,3,1.33,0.66,lmms.csv,3
14,20,3,7,4.3,0.77,knowledge.csv,10
29,21,2,4,2.4,0.8200000000000001,voms.csv,6
59,22,4,11,5.42,1.0,ppcboot.csv,12
16,27,3,5,2.89,0.72,galaxium.csv,9
25,28,4,9,4.25,0.8300000000000001,thout.csv,12
20,29,4,12,3.85,0.9,somap.csv,13
39,30,6,17,8.17,0.865,fleet-simulator.csv,18
34,31,2,5,3.4,0.94,sqlpower-library.csv,5
13,33,4,9,3.83,0.855,pnotepad.csv,12
12,34,3,8,3.3,0.86,mob-sen-plat.csv,10
5,35,1,4,1.75,0.815,jajuk.csv,4
33,36,5,13,7.69,0.905,mpgravity.csv,16
40,37,7,19,9.95,0.93,sbml.csv,20
32,38,3,9,4.7,0.835,libtorrent.csv,10
41,39,5,15,6.69,0.97,zengine.csv,16
54,40,2,4,2.14,0.71,apolloplayer.csv,8
47,41,3,9,4.7,1.0,hydrogen.csv,10
22,42,2,3,2.2,0.82,electric-core.csv,5
31,43,6,16,8.0,1.0,irrlicht.csv,19
30,44,7,18,7.85,0.925,modplug.csv,20
23,45,2,4,1.83,0.705,minig.csv,6
46,46,2,5,2.2,0.95,pcgen.csv,5
55,47,3,9,2.9,0.93,sumatrapdf.csv,10
48,48,4,11,5.83,1.0,virtuoso.csv,12
53,49,6,18,8.72,0.96,sylpheed-claws.csv,18
8,51,3,9,5.11,0.8300000000000001,ivataopenportal.csv,10
42,52,5,14,9.12,1.0,tcl.csv,17
38,53,1,3,2.33,0.89,rectracker.csv,3
37,54,6,15,8.05,1.0,jsr308-langtools.csv,20
43,55,3,7,2.89,0.79,abbot.csv,9
7,56,6,14,7.76,0.95,ontomorphtab.csv,17
4,57,4,13,6.85,1.0,sevenupdate.csv,14
9,58,1,2,1.5,0.7,jmol.csv,2
1,59,1,2,1.25,0.665,n2cms.csv,4
11,60,4,10,4.42,0.8200000000000001,ldview.csv,12
0,61,2,3,2.0,0.71,lazarus-ccr.csv,5
36,62,3,8,3.22,0.91,barracudamvc.csv,9
44,63,1,2,2.0,0.88,silvertree.csv,2
45,64,0,1,1.0,0.73,jrdf.csv,1
35,65,4,11,5.64,1.0,wpdev.csv,11
2,66,5,16,6.06,0.995,soar.csv,16
10,67,5,11,4.86,0.78,ipfilter.csv,15
3,68,5,14,7.69,0.9,megasquirtavr.csv,16
6,69,2,7,2.86,0.96,glelite.csv,7
