,f1,g,recall,precision,pf,cdom,bellwether
1,0.62,0.595,0.47,0.46,0.48,7.0,springside.csv
10,0.8049999999999999,0.8,0.5,0.52,0.655,1.0,gpsmid.csv
13,0.62,0.635,0.4,0.47,0.49,8.0,acegisecurity.csv
26,0.46,0.65,0.39,0.44,0.46,4.0,pydev.csv
32,0.75,0.585,0.56,0.49,0.46,16.0,heekscad.csv
50,0.47,0.535,0.37,0.43,0.44,18.0,openwbem.csv
23,0.81,0.6000000000000001,0.54,0.54,0.54,1.0,magicwars.csv
24,0.6499999999999999,0.43,0.415,0.44,0.46,3.0,turbotrader-bos.csv
25,0.7,0.685,0.67,0.645,0.67,0.0,xmemcached.csv
