,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
56,2,1,1,1,2,2,2,1,mclient-mume.csv
51,3,2,3,5,2,2,6,5,open-media-library.csv
49,4,8,2,10,4,3,10,15,mobicents.csv
57,5,3,3,4,2,2,1,4,springside.csv
24,6,3,7,14,7,7,12,19,twostep.csv
19,7,0,3,4,1,9,11,12,piccolo2d.csv
28,8,5,3,8,3,2,7,10,jsidplay2.csv
17,9,0,2,3,0,2,4,5,jgnash.csv
18,11,0,1,1,0,1,1,0,atunes.csv
52,12,1,1,2,1,1,1,1,gpsmid.csv
58,14,2,1,1,2,1,3,2,amanda.csv
50,15,5,8,12,7,3,16,18,cascading.csv
21,16,1,1,3,5,10,11,12,openmeetings.csv
26,17,4,4,6,3,0,8,7,psycle.csv
15,18,3,6,8,4,7,15,15,phonon-vlc-mplayer.csv
27,19,1,2,3,1,0,3,2,lmms.csv
14,20,3,6,6,5,6,9,9,fritzing.csv
29,21,1,2,4,1,3,5,4,voms.csv
59,22,1,2,2,4,8,12,11,acegisecurity.csv
16,27,1,5,5,3,4,6,8,galaxium.csv
25,28,0,4,6,1,6,10,11,pydev.csv
20,29,5,2,7,7,5,13,12,ivef-sdk.csv
39,30,2,3,3,9,12,15,17,myfaces.csv
34,31,4,2,5,4,1,1,4,botsnscouts.csv
13,33,3,5,7,3,2,7,11,heekscad.csv
12,34,4,3,8,3,1,0,9,mob-sen-plat.csv
5,35,2,3,4,2,1,0,3,jajuk.csv
33,36,5,2,4,8,9,8,15,customwars.csv
40,37,7,10,8,8,15,12,19,ardour.csv
32,38,5,2,8,5,3,7,9,mcmc-jags.csv
41,39,2,4,7,5,5,0,15,owlib.csv
54,40,0,4,4,1,2,8,6,apolloplayer.csv
47,41,2,5,5,2,6,8,9,lphant.csv
22,42,2,2,2,2,4,4,4,adaptagrams.csv
31,43,6,5,10,8,7,15,18,openfrag.csv
30,44,6,7,8,9,12,20,19,ogrehg.csv
23,45,2,1,1,3,4,6,5,webdriver.csv
46,46,1,1,1,3,5,5,4,tolven.csv
55,47,3,2,2,4,7,9,9,qtractor.csv
48,48,3,4,9,2,2,10,11,blue-c.csv
53,49,5,4,2,10,16,18,17,img-browse-sort.csv
8,51,2,1,4,3,3,9,8,openwbem.csv
42,52,4,3,13,3,4,10,15,oppna-program-hsatools.csv
38,53,1,1,2,1,2,3,2,graphmak.csv
37,54,1,7,9,4,7,13,18,wgs-assembler.csv
43,55,0,1,3,1,4,6,8,oscarmcmaster.csv
7,56,4,3,11,3,2,15,16,scite-ru.csv
4,57,3,1,5,5,4,13,12,intact.csv
9,58,0,1,1,1,2,2,1,papertoolkit.csv
1,59,1,1,2,0,2,4,3,nug.csv
11,60,3,3,8,2,1,11,11,nuttx.csv
0,61,1,2,3,1,1,4,4,lazarus-ccr.csv
36,62,1,1,2,3,4,5,8,irplus.csv
44,63,2,1,2,1,1,1,1,silvertree.csv
45,64,0,1,1,0,1,1,0,jrdf.csv
35,65,5,4,9,5,2,9,10,unicase.csv
2,66,6,3,15,3,1,9,15,grisbi.csv
10,67,2,4,7,3,5,5,13,opensim4opencog.csv
3,68,4,3,4,6,10,11,15,atomsite.csv
6,69,4,2,4,3,3,4,6,rebecca-aiml.csv
