,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,99.0,98.5,3004.5,99.0,487.5,99.0,384.0,378.5,98.5,98.5
firebird.csv,99.0,98.5,3930.0,99.0,487.5,99.0,577.0,472.5,98.5,98.5
fmri-dmt.csv,99.0,98.5,3663.5,99.0,584.0,97.5,283.5,566.0,284.0,98.5
htmlunit.csv,99.0,98.5,1294.0,2065.0,194.0,97.5,480.5,187.0,98.5,98.5
monetdb.csv,99.0,98.5,297.5,2263.0,92.5,98.5,283.5,182.0,98.5,98.5
ontomorphtab.csv,99.0,98.5,3393.5,99.0,487.5,99.0,192.0,379.0,98.5,98.5
smarttag.csv,99.0,98.5,2396.0,99.0,291.5,99.0,481.5,277.5,98.5,98.5
taokgame.csv,89.5,98.5,106.0,1274.0,191.0,190.0,98.5,377.0,98.5,98.5
webdriver.csv,99.0,98.5,685.5,99.0,194.0,97.5,386.0,376.0,98.5,98.5
xbplayer.csv,97.5,98.5,1752.5,99.0,292.5,99.0,284.5,179.0,98.5,98.5
