,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.73,0.88,0.12,0.51,0.44,0.51,0.54,0.27,0.51,0.07
firebird.csv,0.67,0.77,0.11,0.43,0.41,0.35,0.44,0.29,0.49,0.08
fmri-dmt.csv,0.43,0.67,0.12,0.36,0.32,0.22,0.43,0.27,0.21,0.3
htmlunit.csv,0.67,0.83,0.14,0.44,0.5,0.52,0.52,0.34,0.44,0.11
monetdb.csv,0.61,0.8,0.47,0.43,0.71,0.56,0.64,0.25,0.56,0.1
ontomorphtab.csv,0.6,0.83,0.12,0.45,0.35,0.39,0.56,0.29,0.4,0.1
smarttag.csv,0.56,0.73,0.02,0.38,0.41,0.38,0.53,0.4,0.41,0.09
taokgame.csv,0.84,0.8,0.56,0.33,0.54,0.36,0.67,0.21,0.8,0.25
webdriver.csv,0.57,0.71,0.3,0.38,0.5,0.43,0.72,0.28,0.42,0.06
xbplayer.csv,0.64,0.81,0.18,0.48,0.53,0.48,0.66,0.29,0.7,0.08
