,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.4,0.39,0.44,0.42
google-caja.csv,0.4,0.34,0.35,0.39
itext.csv,0.43,0.4,0.43,0.44
plee-the-bear.csv,0.97,0.51,0.96,0.53
