,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,1.0,0.73,0.98,0.91
google-caja.csv,0.88,0.95,0.79,0.74
itext.csv,0.82,0.63,0.94,1.0
plee-the-bear.csv,0.94,0.58,0.32,0.71
