,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.86,0.52,0.71,0.63,0.64,0.67,0.56,0.08,0.14,0.68,0.67,0.48,0.36,0.91,0.99,0.64,0.43
chaosrts.csv,0.77,0.6,0.63,0.58,0.63,0.71,0.42,0.08,0.29,0.72,0.68,0.54,0.35,0.99,0.63,0.65,0.38
cortex-vfx.csv,0.36,0.45,0.57,0.47,0.5,0.65,0.55,0.0,0.0,0.34,0.51,0.19,0.97,0.29,0.27,0.13,0.28
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
fritzing.csv,0.71,0.54,0.99,0.55,0.42,0.67,0.5,0.13,0.17,0.71,0.48,0.32,0.33,0.64,0.79,0.38,0.48
jlinalg.csv,1.0,0.51,0.61,0.59,0.66,0.68,0.42,0.08,0.29,0.73,0.68,0.56,0.36,0.93,0.86,0.64,0.39
loki-lib.csv,0.68,0.56,0.6,0.56,0.49,0.81,0.27,0.09,0.21,0.53,0.53,1.0,0.38,0.85,0.42,0.75,0.35
metacosm.csv,0.61,0.25,0.39,0.51,0.44,0.65,0.3,0.07,0.46,0.58,0.39,0.35,0.29,0.48,0.52,0.96,0.36
multitude.csv,0.63,0.59,0.65,0.56,0.57,0.7,0.57,0.12,0.23,0.68,0.98,0.46,0.4,0.66,0.48,0.67,0.44
ng4j.csv,0.43,0.32,0.58,0.3,0.48,0.64,0.64,0.0,0.15,0.59,0.39,0.23,0.37,0.59,0.53,0.6,0.95
phonon-vlc-mplayer.csv,0.64,0.45,0.62,0.53,0.63,0.7,0.99,0.12,0.15,0.67,0.32,0.31,0.33,0.53,0.71,0.52,0.45
playerstage.csv,0.47,0.52,0.59,0.96,0.59,0.47,0.6,0.0,0.09,0.59,0.43,0.46,0.29,0.26,0.53,0.49,0.25
qgis.csv,0.72,0.47,0.64,0.58,0.99,0.62,0.55,0.1,0.18,0.59,0.48,0.54,0.4,0.88,0.59,0.57,0.41
rsyslog.csv,0.8,0.58,0.65,0.62,0.6,0.96,0.61,0.12,0.21,0.64,0.54,0.47,0.32,0.8,0.73,0.66,0.5
rtrt-on-gpu.csv,0.11,0.34,0.29,0.3,0.42,0.07,0.12,0.0,1.0,0.3,0.4,0.16,0.22,0.11,0.4,0.35,0.12
superwaba.csv,0.61,0.97,0.63,0.59,0.61,0.59,0.43,0.12,0.18,0.71,0.57,0.42,0.39,0.89,0.63,0.6,0.27
unflobtactical.csv,0.52,0.28,0.47,0.56,0.48,0.41,0.31,0.08,0.28,0.97,0.49,0.39,0.35,0.54,0.34,0.31,0.35
