,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,97.5,475.5,99.0,99.0,181.0,98.5,99.0,281.5,284.5,287.5,81.5,196.0,197.5,99.0,192.0,98.5,97.5,366.0,96.5,150.5
apertium.csv,593.0,192.0,189.0,2031.0,99.0,98.5,99.0,57.5,481.5,98.5,191.0,745.0,290.5,99.0,82.5,197.5,435.5,1452.0,0.0,194.0
beast-mcmc.csv,97.5,484.5,99.0,99.0,98.5,98.5,196.5,376.0,576.0,98.5,578.0,1399.5,197.5,99.0,94.5,98.5,270.5,748.0,96.5,444.5
bigdata.csv,296.0,94.5,193.0,292.5,99.0,98.5,295.0,567.0,479.5,98.5,134.0,196.0,197.5,96.5,195.0,197.5,276.5,920.5,88.5,327.5
cuberok.csv,493.0,482.5,597.5,1349.5,94.5,98.5,198.0,378.0,190.0,98.5,383.0,196.0,197.5,99.0,182.0,197.5,97.5,369.0,96.5,425.0
exist.csv,494.0,581.0,99.0,99.0,98.5,98.5,99.0,282.5,576.0,98.5,675.5,196.0,197.5,99.0,195.0,195.5,97.5,178.0,96.5,558.0
icescrum.csv,97.5,193.0,95.5,96.5,98.5,178.0,99.0,188.0,576.0,98.5,185.0,319.5,197.5,194.0,192.0,197.5,272.5,279.5,96.5,96.5
jbasic.csv,98.5,484.5,99.0,195.0,99.0,276.5,99.0,571.5,576.0,94.5,675.5,774.0,583.5,99.0,129.0,197.5,97.5,555.0,96.5,195.0
jgnash.csv,296.0,193.0,193.0,99.0,97.5,98.5,99.0,376.0,564.0,98.5,188.0,187.0,197.5,98.5,94.5,197.5,97.5,308.0,96.5,292.5
jrefactory.csv,783.0,577.5,553.0,584.0,192.0,59.5,99.0,282.5,188.0,98.5,783.5,285.5,98.5,189.0,195.0,282.0,97.5,352.0,96.5,194.0
jsecurity.csv,197.5,94.5,193.0,96.5,98.5,98.5,98.5,90.5,1255.0,98.5,74.5,550.0,290.0,95.5,91.5,93.5,467.5,134.0,96.5,42.5
libopenmetaverse.csv,593.0,581.0,99.0,99.0,99.0,98.5,99.0,470.5,576.0,98.5,675.5,196.0,197.5,99.0,195.0,197.5,97.5,1013.5,96.5,292.5
mobicents.csv,197.0,290.5,193.0,730.0,99.0,97.5,99.0,378.0,576.0,98.5,189.0,196.0,197.5,99.0,195.0,197.5,97.5,1916.5,96.5,733.0
mp-rechnungs-und-kundenverwaltung.csv,295.0,190.0,291.5,489.5,99.0,87.5,99.0,188.0,906.0,98.5,288.5,54.5,193.5,289.5,91.5,197.5,272.5,176.0,96.5,350.0
opendvr.csv,197.5,94.5,99.0,99.0,94.5,98.5,96.5,185.0,478.5,98.5,90.5,346.5,197.5,99.0,66.5,196.5,272.5,1457.0,183.0,139.0
openefm.csv,394.0,192.0,291.5,292.5,94.5,250.5,198.0,281.5,190.0,135.0,385.0,191.0,95.5,98.5,272.5,96.5,246.5,83.5,96.5,195.0
sidekar.csv,0.0,190.0,0.0,0.0,98.5,0.0,0.0,282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,0.0
wheat.csv,296.5,482.5,99.0,99.0,99.0,95.5,98.5,188.0,478.5,1047.5,286.5,97.5,197.5,99.0,192.0,293.5,177.0,553.0,96.5,311.0
wsmt.csv,493.0,288.5,76.5,584.5,98.5,97.5,99.0,159.0,888.5,92.5,156.5,191.0,95.5,398.5,74.5,98.5,97.5,52.5,81.5,67.0
yarp0.csv,395.0,386.0,194.0,99.0,99.0,97.5,99.0,567.0,570.0,98.5,94.5,442.0,197.5,99.0,97.5,197.5,368.0,1640.0,96.5,751.0
