,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.77,0.51,0.23,1.0,0.63,0.43,0.97,0.71,0.33,0.16,0.25,0.22,0.15,0.4,0.39
continuum-ide.csv,0.28,0.14,0.07,0.0,0.04,0.0,0.06,0.94,0.11,0.08,0.5,0.15,0.17,0.29,0.21
fleet-simulator.csv,0.61,0.75,0.67,0.53,0.52,0.58,0.82,0.65,0.61,0.58,0.5,0.6,1.0,0.46,0.67
hydrate.csv,0.25,0.18,0.18,0.0,0.19,0.01,0.09,0.47,0.28,0.14,0.88,0.1,0.17,0.14,1.0
ivef-sdk.csv,0.77,0.59,0.6,1.0,0.74,1.0,0.24,0.0,0.67,0.58,0.0,0.56,0.04,0.2,0.03
jmri.csv,0.68,0.46,0.99,0.33,0.3,0.54,0.45,0.65,0.67,0.47,0.38,0.28,0.41,0.6,0.33
kdenlive.csv,0.97,0.61,0.55,0.3,0.44,0.18,0.18,0.71,0.89,0.36,0.62,0.39,0.52,0.4,0.91
mia.csv,0.27,0.31,0.14,0.03,0.0,0.06,0.0,0.18,1.0,0.08,0.38,0.1,0.02,0.03,0.24
ontopia.csv,0.89,1.0,0.61,0.83,0.7,0.73,0.82,0.65,0.72,0.97,1.0,0.69,0.83,0.89,0.85
opentibia.csv,0.97,1.0,0.45,0.73,0.7,0.67,0.73,0.88,0.89,0.55,0.75,0.62,0.78,0.83,0.76
runuomondains.csv,0.08,0.11,0.13,0.03,0.07,0.48,0.09,0.24,0.0,0.13,1.0,0.08,0.22,0.03,0.15
somap.csv,1.0,1.0,0.95,1.0,0.96,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0
taverna.csv,0.21,0.11,0.1,0.13,0.96,0.03,0.45,0.35,0.11,0.22,0.0,0.14,0.39,0.26,0.03
tigermud.csv,0.51,0.52,0.4,0.93,0.85,0.07,0.82,0.71,0.22,0.47,0.38,0.68,0.54,0.83,0.58
x-ray-mule.csv,0.52,0.45,0.55,0.97,0.63,0.48,0.27,0.59,0.22,0.37,0.12,0.64,0.43,0.37,0.55
