,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.72,0.66,0.31,0.76,0.5,0.59,0.98,0.43,0.12,0.26,0.12,0.35,0.26,0.53,0.51
continuum-ide.csv,0.38,0.24,0.12,0.0,0.07,0.0,0.11,0.97,0.15,0.14,0.3,0.26,0.29,0.44,0.33
fleet-simulator.csv,0.66,0.81,0.55,0.51,0.43,0.57,0.75,0.52,0.15,0.68,0.3,0.73,1.0,0.53,0.64
hydrate.csv,0.35,0.3,0.27,0.0,0.26,0.03,0.15,0.41,0.14,0.25,0.22,0.18,0.29,0.23,1.0
ivef-sdk.csv,0.74,0.73,0.54,0.82,0.47,1.0,0.25,0.0,0.16,0.72,0.0,0.68,0.06,0.27,0.06
jmri.csv,0.71,0.61,0.99,0.38,0.28,0.56,0.43,0.51,0.17,0.62,0.22,0.43,0.53,0.59,0.44
kdenlive.csv,0.98,0.74,0.56,0.35,0.39,0.28,0.24,0.44,0.17,0.48,0.2,0.54,0.66,0.48,0.78
mia.csv,0.37,0.45,0.2,0.06,0.0,0.11,0.0,0.25,1.0,0.14,0.26,0.18,0.04,0.05,0.38
ontopia.csv,0.78,0.94,0.5,0.7,0.44,0.73,0.58,0.44,0.15,0.99,0.23,0.78,0.84,0.71,0.74
opentibia.csv,0.81,1.0,0.44,0.63,0.5,0.76,0.64,0.44,0.17,0.66,0.2,0.75,0.81,0.73,0.67
runuomondains.csv,0.15,0.19,0.2,0.06,0.13,0.58,0.15,0.28,0.0,0.23,1.0,0.15,0.33,0.05,0.26
somap.csv,0.78,0.93,0.62,0.75,0.5,0.82,0.68,0.47,0.17,0.9,0.21,0.99,0.93,0.77,0.78
taverna.csv,0.3,0.2,0.15,0.24,0.98,0.05,0.54,0.48,0.09,0.35,0.0,0.24,0.54,0.36,0.06
tigermud.csv,0.5,0.66,0.39,0.76,0.51,0.14,0.67,0.41,0.06,0.61,0.14,0.77,0.64,0.89,0.58
x-ray-mule.csv,0.58,0.59,0.49,0.98,0.45,0.63,0.3,0.4,0.1,0.51,0.07,0.75,0.6,0.46,0.58
