,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.59,0.55,0.27,0.21,0.61,0.48,0.98,0.56,0.36,0.19,0.28,0.25,0.18,0.45,0.43
continuum-ide.csv,0.31,0.17,0.09,0.0,0.05,0.0,0.07,0.95,0.13,0.1,0.54,0.18,0.2,0.34,0.25
fleet-simulator.csv,0.61,0.6,0.56,0.35,0.53,0.0,0.78,0.65,0.51,0.48,0.54,0.58,1.0,0.48,0.51
hydrate.csv,0.29,0.21,0.21,0.0,0.23,0.01,0.11,0.5,0.32,0.17,0.51,0.12,0.2,0.17,1.0
ivef-sdk.csv,0.67,0.62,0.56,0.73,0.56,1.0,0.26,0.0,0.54,0.62,0.0,0.0,0.05,0.23,0.04
jmri.csv,0.66,0.49,0.99,0.34,0.33,0.33,0.44,0.64,0.58,0.5,0.42,0.32,0.28,0.49,0.37
kdenlive.csv,0.97,0.63,0.56,0.32,0.46,0.21,0.21,0.58,0.43,0.34,0.55,0.41,0.54,0.43,0.61
mia.csv,0.31,0.33,0.17,0.04,0.0,0.07,0.0,0.21,1.0,0.1,0.42,0.12,0.02,0.04,0.28
ontopia.csv,0.62,0.3,0.47,0.51,0.51,0.61,0.23,0.59,0.5,0.98,0.27,0.0,0.0,0.0,0.53
opentibia.csv,0.59,1.0,0.45,0.32,0.62,0.69,0.66,0.29,0.41,0.47,0.51,0.59,0.0,0.6,0.35
runuomondains.csv,0.1,0.13,0.16,0.04,0.09,0.5,0.11,0.28,0.0,0.16,1.0,0.1,0.19,0.04,0.18
somap.csv,0.0,0.0,0.09,0.0,0.17,0.0,0.38,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0
taverna.csv,0.24,0.13,0.12,0.16,0.97,0.04,0.49,0.4,0.13,0.26,0.0,0.17,0.42,0.3,0.04
tigermud.csv,0.18,0.54,0.4,0.54,0.57,0.09,0.68,0.53,0.24,0.48,0.39,0.0,0.0,0.85,0.5
x-ray-mule.csv,0.51,0.47,0.5,0.98,0.57,0.53,0.3,0.54,0.25,0.4,0.14,0.54,0.49,0.4,0.52
