,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.0,0.0,7.0,1.0,3.0,1.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0
continuum-ide.csv,0.0,1.0,6.0,49.0,0.0,96.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,5.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,26.0,1.0,9.0,0.0,0.0,1.0,6.0
hydrate.csv,0.0,2.0,0.0,49.0,0.0,1.0,1.0,3.0,12.0,0.0,7.0,1.0,0.0,0.0,0.0
ivef-sdk.csv,1.0,0.0,18.0,1.0,2.0,0.0,10.0,55.0,8.0,0.0,66.0,0.0,7.0,0.0,0.0
jmri.csv,1.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0
kdenlive.csv,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,1.0,30.0,1.0,3.0,2.0,0.0
mia.csv,0.0,0.0,16.0,1.0,79.0,0.0,67.0,3.0,0.0,1.0,8.0,0.0,1.0,4.0,1.0
ontopia.csv,3.0,0.0,18.0,1.0,0.0,1.0,9.0,8.0,8.0,0.0,7.0,0.0,2.0,0.0,2.0
opentibia.csv,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,26.0,0.0,6.0,0.0,2.0,0.0,2.0
runuomondains.csv,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,195.0,0.0,0.0,0.0,7.0,1.0,1.0
somap.csv,3.0,0.0,18.0,1.0,2.0,1.0,9.0,10.0,8.0,0.0,7.0,0.0,2.0,0.0,3.0
taverna.csv,0.0,0.0,10.0,0.0,0.0,14.0,3.0,1.0,22.0,0.0,66.0,0.0,2.0,0.0,1.0
tigermud.csv,3.0,2.0,1.0,1.0,1.0,0.0,4.0,8.0,84.0,0.0,1.0,0.0,2.0,0.0,3.0
x-ray-mule.csv,5.0,3.0,18.0,0.0,1.0,0.0,1.0,8.0,46.0,0.0,2.0,0.0,0.0,0.0,0.0
