,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.0,0.52,0.47,0.27,0.5,0.59,0.27,0.49
apolloplayer.csv,0.59,0.0,0.21,0.27,0.62,0.49,0.32,0.25
k3d.csv,0.07,0.08,0.03,0.11,0.25,0.0,0.07,0.09
redshell.csv,0.65,1.0,0.7,0.97,0.12,0.7,0.95,0.53
rtb-team.csv,0.31,0.39,0.18,0.0,0.12,0.35,0.17,0.39
xreal.csv,0.0,0.04,0.0,0.0,0.0,0.04,0.07,0.0
xstore.csv,0.36,0.44,0.43,0.32,0.25,0.26,0.0,0.47
