,f1,g,recall,precision,pf,wins
alsa.csv,0.595,0.605,0.72,0.47,0.565,11
arcallians.csv,0.54,0.59,0.785,0.475,0.53,12
arianne.csv,0.575,0.255,0.955,0.42,0.935,2
aztec.csv,0.39,0.49,0.45999999999999996,0.585,0.28,8
biopax.csv,0.5700000000000001,0.41000000000000003,0.945,0.4,0.875,4
bl-toolkit.csv,0.535,0.09,0.8400000000000001,0.395,0.955,1
gnupdate.csv,0.6,0.56,0.73,0.485,0.44,13
les-indemodables.csv,0.485,0.54,0.595,0.435,0.455,6
ng4j.csv,0.62,0.63,0.675,0.495,0.41500000000000004,14
openxava.csv,0.325,0.43,0.4,0.49,0.335,3
phonon-vlc-mplayer.csv,0.5800000000000001,0.61,0.665,0.585,0.38,15
qgis.csv,0.42,0.5,0.5449999999999999,0.42000000000000004,0.275,7
rsyslog.csv,0.375,0.445,0.665,0.415,0.345,5
vars-redux.csv,0.48,0.535,0.52,0.52,0.35,9
xapian.csv,0.615,0.515,0.895,0.475,0.78,10
xqilla.csv,0.15,0.19,0.16,0.395,0.29000000000000004,0
