,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.68,0.45,0.15,0.48,0.35,0.68,0.35,0.2,0.34,0.01,0.53,0.46,0.43,0.82
biopax.csv,0.52,0.28,0.11,0.42,0.22,0.52,0.2,0.11,0.33,0.02,0.41,0.36,0.41,0.98
gnupdate.csv,0.61,0.36,0.13,0.49,0.19,0.47,0.53,0.05,0.3,0.2,0.54,0.4,0.5,0.87
les-indemodables.csv,0.73,0.32,0.11,0.53,0.42,0.51,0.26,0.14,0.34,0.02,0.5,0.6,0.49,0.81
openxava.csv,0.8,0.32,0.23,0.43,0.14,0.41,0.17,0.13,0.29,0.08,0.68,0.67,0.52,0.71
ppcboot.csv,0.55,0.31,0.11,0.42,0.2,0.71,0.19,0.11,0.35,0.02,0.42,0.37,0.42,0.8
repositorium.csv,0.5,0.14,0.2,0.29,0.01,0.47,0.0,0.25,0.08,0.03,0.44,0.31,0.34,0.64
rsyslog.csv,0.81,0.3,0.1,0.43,0.31,0.5,0.33,0.12,0.39,0.03,0.54,0.38,0.41,0.85
simplewebservices.csv,0.53,0.25,0.11,0.51,0.22,0.53,0.19,0.1,0.3,0.03,0.48,0.36,0.58,0.94
ultimairis.csv,0.54,0.28,0.14,0.49,0.28,0.54,0.19,0.12,0.6,0.0,0.37,1.0,0.47,0.92
vars-redux.csv,0.74,0.28,0.11,0.6,0.3,0.48,0.15,0.12,0.34,0.04,0.63,0.46,0.33,1.0
wow-qrsk.csv,1.0,0.38,0.15,0.61,0.44,0.74,0.67,0.0,0.25,0.03,1.0,0.39,0.59,0.85
wxstudio.csv,0.59,0.24,0.35,0.42,0.08,0.42,0.12,0.15,0.2,0.0,0.71,0.21,0.4,0.5
xqilla.csv,1.0,0.08,0.67,0.34,0.14,0.38,0.09,0.07,0.16,0.3,0.59,1.0,0.54,0.5
