,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.46,0.44,0.62,0.67,0.41,0.51,0.62,0.53,0.67,0.9,0.61,0.59,0.73,0.63
biopax.csv,1.0,1.0,1.0,1.0,0.83,0.96,0.95,0.99,0.9,1.0,0.97,0.98,1.0,0.18
gnupdate.csv,0.59,0.59,0.78,0.68,0.72,0.79,0.26,1.0,0.85,0.67,0.57,0.69,0.59,0.65
les-indemodables.csv,0.4,0.64,0.8,0.56,0.38,0.84,0.63,0.69,0.66,0.76,0.61,0.4,0.73,0.68
openxava.csv,0.55,0.86,0.37,0.79,0.82,0.85,0.75,0.66,0.76,0.31,0.48,0.63,0.85,0.93
ppcboot.csv,0.88,0.85,1.0,1.0,0.91,0.48,0.98,0.93,0.8,1.0,1.0,0.98,0.99,0.85
repositorium.csv,0.93,0.98,0.52,0.96,1.0,0.84,1.04,0.36,0.98,0.74,0.72,0.88,0.81,0.9
rsyslog.csv,0.26,0.75,0.87,0.78,0.47,0.74,0.63,0.82,0.62,0.82,0.59,0.77,1.0,0.85
simplewebservices.csv,0.96,0.92,0.78,0.6,0.75,0.98,1.0,0.94,0.77,0.77,0.74,1.0,0.48,0.53
ultimairis.csv,0.88,1.0,0.6,0.66,0.54,0.92,1.0,0.71,0.44,1.05,0.83,0.97,0.65,0.52
vars-redux.csv,0.51,0.71,0.93,0.44,0.51,0.77,0.82,0.7,0.66,0.55,0.45,0.55,0.86,0.63
wow-qrsk.csv,0.92,0.59,0.57,0.43,0.29,0.63,0.8,1.0,0.98,0.79,0.97,0.83,0.75,0.72
wxstudio.csv,0.62,0.85,0.63,0.71,1.05,0.98,0.88,0.58,0.94,1.0,0.38,0.92,0.98,1.04
xqilla.csv,0.96,0.99,0.88,0.82,0.83,0.91,0.93,0.9,0.92,0.06,0.74,0.95,0.87,0.97
