,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.42,0.49,0.39,0.38,0.52,0.46,0.55,0.62,0.45,0.47,0.39,0.61,0.45,0.5,0.56,0.53
gephex.csv,0.71,0.72,0.55,0.57,0.72,0.57,0.6,0.86,0.43,0.57,0.0,0.86,0.5,0.6,0.6,0.47
intact.csv,0.52,0.45,0.36,0.76,0.6,0.5,0.58,0.77,0.62,0.67,0.37,0.69,0.61,0.7,0.7,0.57
jbpm.csv,0.0,0.0,0.86,0.76,0.98,0.8,0.0,0.67,0.0,0.0,0.41,0.0,0.67,0.88,0.67,0.92
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
jpaul.csv,0.88,0.86,0.5,0.64,0.79,0.5,0.65,0.95,0.67,0.94,0.38,0.88,0.5,0.93,0.59,0.35
lamp.csv,0.92,0.8,0.89,0.93,0.97,0.0,0.8,0.89,0.89,0.94,0.8,0.5,0.89,0.0,0.88,0.67
mevenide.csv,0.96,0.67,0.68,0.73,0.76,0.8,0.86,0.95,0.54,0.51,0.39,0.7,0.72,0.92,0.85,0.53
opendvr.csv,0.69,0.46,0.45,0.47,0.58,0.44,0.62,0.48,0.44,0.5,0.42,0.66,0.51,0.81,0.8,0.51
panda3d.csv,0.97,0.89,0.91,0.92,0.96,0.86,0.5,0.97,0.93,0.76,0.53,0.89,0.93,0.89,0.86,0.89
retromenu.csv,0.83,0.54,0.52,0.9,0.97,0.5,0.86,0.92,0.5,0.86,0.0,0.0,0.83,0.75,0.67,0.75
rohxel.csv,0.43,0.45,0.36,0.38,0.44,0.44,0.44,0.36,0.39,0.48,0.39,0.6,0.38,0.48,0.47,0.36
sevenupdate.csv,0.42,0.47,0.38,0.42,0.44,0.5,0.42,0.36,0.36,0.47,0.89,0.53,0.36,0.44,0.47,0.38
soar.csv,0.48,0.57,0.4,0.51,0.5,0.53,0.53,0.47,0.44,0.57,0.52,0.56,0.45,0.54,0.54,0.38
stemkit.csv,0.67,0.0,0.0,0.0,0.8,0.86,0.0,0.0,0.83,0.8,0.75,0.0,0.75,0.5,0.0,0.0
thedata.csv,0.0,0.67,0.83,0.95,0.97,0.75,0.0,0.0,0.8,0.8,0.0,0.0,0.75,0.5,0.8,0.67
