,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,1.0,0.59,0.64,0.5,1.0,0.6,0.63,0.71,0.42,1.0,0.48,0.55,0.56,0.22
continuum-ide.csv,0.0,0.24,0.18,0.0,0.0,0.4,0.2,1.0,0.03,0.14,0.27,0.0,0.17,0.11
free-evolution.csv,0.5,0.2,0.18,0.3,0.0,0.6,0.7,0.41,0.4,0.45,0.82,0.32,0.33,0.08
gtad.csv,1.0,0.02,0.73,0.0,1.0,0.0,0.17,0.24,0.03,0.55,0.03,0.0,0.25,0.03
jaxen.csv,0.0,0.08,0.36,0.7,0.0,1.0,0.47,0.24,0.11,0.14,0.18,0.05,0.11,0.0
jruby.csv,1.0,0.06,0.64,0.4,1.0,1.0,0.7,0.71,0.0,0.73,0.15,0.09,1.0,0.19
jsr308-langtools.csv,1.0,0.69,0.64,0.4,0.0,0.6,0.97,0.53,0.43,0.5,0.61,0.14,0.37,0.42
kaffeine.csv,0.5,0.98,0.27,1.0,1.0,1.0,0.97,0.94,1.0,0.73,0.94,0.86,0.43,1.0
oorexx.csv,1.0,0.51,0.64,0.6,0.0,0.0,0.8,0.41,0.58,0.68,0.64,0.36,0.66,0.97
qedo.csv,0.0,0.02,0.0,0.1,0.0,0.0,0.03,0.0,0.06,0.14,0.03,0.95,0.02,0.0
sarasvati.csv,1.0,0.04,0.91,0.0,1.0,1.0,0.3,0.18,0.03,0.0,0.09,0.05,0.1,0.17
taokgame.csv,0.5,0.02,0.18,1.0,0.0,0.0,0.17,0.06,0.37,0.05,0.24,0.05,0.1,0.06
zabbix.csv,1.0,0.73,0.91,0.8,1.0,0.6,0.9,0.82,1.0,0.5,0.82,0.91,0.81,0.69
