,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.14,0.67,0.19,0.22,0.07,0.1,0.69,0.51,0.42,1.0,0.37,0.15,0.68,0.33
continuum-ide.csv,0.0,0.35,0.11,0.0,0.0,0.11,0.29,1.0,0.06,0.23,0.32,0.0,0.28,0.19
free-evolution.csv,0.07,0.34,0.11,0.09,0.0,0.33,0.75,0.41,0.43,0.36,0.9,0.18,0.49,0.14
gtad.csv,1.0,0.04,0.12,0.0,0.04,0.0,0.29,0.27,0.06,0.39,0.06,0.0,0.39,0.05
jaxen.csv,0.0,0.15,0.14,0.64,0.0,0.91,0.58,0.32,0.19,0.16,0.24,0.06,0.2,0.0
jruby.csv,0.07,0.11,0.16,0.13,0.05,0.13,0.76,0.44,0.0,0.47,0.19,0.03,1.0,0.3
jsr308-langtools.csv,0.11,0.79,0.19,0.17,0.0,0.14,0.98,0.36,0.47,0.49,0.39,0.05,0.5,0.53
kaffeine.csv,0.03,0.98,0.11,0.2,0.06,0.12,0.81,0.44,0.57,0.57,0.37,0.2,0.56,0.75
oorexx.csv,0.08,0.67,0.11,0.21,0.0,0.0,0.77,0.35,0.45,0.42,0.4,0.18,0.75,0.97
qedo.csv,0.0,0.04,0.0,0.1,0.0,0.0,0.06,0.0,0.06,0.19,0.06,0.98,0.03,0.0
sarasvati.csv,0.5,0.08,0.95,0.0,0.33,0.45,0.39,0.25,0.06,0.0,0.14,0.02,0.17,0.26
taokgame.csv,0.11,0.04,0.14,1.0,0.0,0.0,0.26,0.09,0.48,0.07,0.32,0.05,0.17,0.1
zabbix.csv,0.08,0.78,0.14,0.21,0.04,0.13,0.78,0.45,1.0,0.36,0.36,0.15,0.84,0.66
